GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Oahu_CentralTrackingPV_PV_01,1907011200,0.0
Oahu_CentralTrackingPV_PV_01,1907011202,0.0
Oahu_CentralTrackingPV_PV_01,1907011204,0.0
Oahu_CentralTrackingPV_PV_01,1907011206,0.0
Oahu_CentralTrackingPV_PV_01,1907011208,0.409633
Oahu_CentralTrackingPV_PV_01,1907011210,0.765351
Oahu_CentralTrackingPV_PV_01,1907011212,0.746039
Oahu_CentralTrackingPV_PV_01,1907011214,0.736854
Oahu_CentralTrackingPV_PV_01,1907011216,0.618388
Oahu_CentralTrackingPV_PV_01,1907011218,0.0
Oahu_CentralTrackingPV_PV_01,1907011220,0.0
Oahu_CentralTrackingPV_PV_01,1907011222,0.0
Oahu_CentralTrackingPV_PV_01,1907011900,0.0
Oahu_CentralTrackingPV_PV_01,1907011902,0.0
Oahu_CentralTrackingPV_PV_01,1907011904,0.0
Oahu_CentralTrackingPV_PV_01,1907011906,0.0
Oahu_CentralTrackingPV_PV_01,1907011908,0.444519
Oahu_CentralTrackingPV_PV_01,1907011910,0.587452
Oahu_CentralTrackingPV_PV_01,1907011912,0.564452
Oahu_CentralTrackingPV_PV_01,1907011914,0.477891
Oahu_CentralTrackingPV_PV_01,1907011916,0.21249
Oahu_CentralTrackingPV_PV_01,1907011918,0.0
Oahu_CentralTrackingPV_PV_01,1907011920,0.0
Oahu_CentralTrackingPV_PV_01,1907011922,0.0
Oahu_CentralTrackingPV_PV_01,1907021200,0.0
Oahu_CentralTrackingPV_PV_01,1907021202,0.0
Oahu_CentralTrackingPV_PV_01,1907021204,0.0
Oahu_CentralTrackingPV_PV_01,1907021206,0.0
Oahu_CentralTrackingPV_PV_01,1907021208,0.572372
Oahu_CentralTrackingPV_PV_01,1907021210,0.877742
Oahu_CentralTrackingPV_PV_01,1907021212,0.853809
Oahu_CentralTrackingPV_PV_01,1907021214,0.859716
Oahu_CentralTrackingPV_PV_01,1907021216,0.698996
Oahu_CentralTrackingPV_PV_01,1907021218,0.0
Oahu_CentralTrackingPV_PV_01,1907021220,0.0
Oahu_CentralTrackingPV_PV_01,1907021222,0.0
Oahu_CentralTrackingPV_PV_01,1907050200,0.0
Oahu_CentralTrackingPV_PV_01,1907050202,0.0
Oahu_CentralTrackingPV_PV_01,1907050204,0.0
Oahu_CentralTrackingPV_PV_01,1907050206,0.0442707
Oahu_CentralTrackingPV_PV_01,1907050208,0.824978
Oahu_CentralTrackingPV_PV_01,1907050210,0.989287
Oahu_CentralTrackingPV_PV_01,1907050212,0.971051
Oahu_CentralTrackingPV_PV_01,1907050214,0.583813
Oahu_CentralTrackingPV_PV_01,1907050216,0.83399
Oahu_CentralTrackingPV_PV_01,1907050218,0.0634427
Oahu_CentralTrackingPV_PV_01,1907050220,0.0
Oahu_CentralTrackingPV_PV_01,1907050222,0.0
Oahu_CentralTrackingPV_PV_01,1907092200,0.0
Oahu_CentralTrackingPV_PV_01,1907092202,0.0
Oahu_CentralTrackingPV_PV_01,1907092204,0.0
Oahu_CentralTrackingPV_PV_01,1907092206,0.00448283
Oahu_CentralTrackingPV_PV_01,1907092208,0.793983
Oahu_CentralTrackingPV_PV_01,1907092210,0.910291
Oahu_CentralTrackingPV_PV_01,1907092212,0.815702
Oahu_CentralTrackingPV_PV_01,1907092214,0.834543
Oahu_CentralTrackingPV_PV_01,1907092216,0.787052
Oahu_CentralTrackingPV_PV_01,1907092218,0.0
Oahu_CentralTrackingPV_PV_01,1907092220,0.0
Oahu_CentralTrackingPV_PV_01,1907092222,0.0
Oahu_CentralTrackingPV_PV_01,1907102700,0.0
