GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_AES,1993,2395935.70899441,.,81542.3497598936
Oahu_Airport_DSG,2013,574324.697098231,.,8418.68374650717
Oahu_Battery_Bulk,2020,346272.71269587,397711.775089097,37834.3713486769
Oahu_Battery_Bulk,2023,281922.212459943,323801.961412326,30803.3214474462
Oahu_Battery_Bulk,2025,239021.878969325,274528.752294479,26115.9548466258
Oahu_Battery_Bulk,2030,194544.053023632,223443.713074244,21256.2286195431
Oahu_Battery_Bulk,2035,182385.049709655,209478.481007104,19927.7143308217
Oahu_Battery_Bulk,2040,170226.046395678,195513.248939964,18599.2000421002
Oahu_Battery_Bulk,2045,158067.043081701,181548.016872823,17270.6857533788
Oahu_Battery_Bulk,2050,145908.039767724,167582.784805683,15942.1714646573
Oahu_Battery_Conting,2020,545128.600240418,0.0,37834.3713486769
Oahu_Battery_Conting,2023,443823.193166106,0.0,30803.3214474462
Oahu_Battery_Conting,2025,376286.255116564,0.0,26115.9548466258
Oahu_Battery_Conting,2030,306265.909560754,0.0,21256.2286195431
Oahu_Battery_Conting,2035,287124.290213207,0.0,19927.7143308217
Oahu_Battery_Conting,2040,267982.67086566,0.0,18599.2000421002
Oahu_Battery_Conting,2045,248841.051518113,0.0,17270.6857533788
Oahu_Battery_Conting,2050,229699.432170566,0.0,15942.1714646573
Oahu_Battery_Reg,2020,743984.487784966,0.0,37834.3713486769
Oahu_Battery_Reg,2023,605724.173872269,0.0,30803.3214474462
Oahu_Battery_Reg,2025,513550.631263804,0.0,26115.9548466258
Oahu_Battery_Reg,2030,417987.766097876,0.0,21256.2286195431
Oahu_Battery_Reg,2035,391863.530716759,0.0,19927.7143308217
Oahu_Battery_Reg,2040,365739.295335642,0.0,18599.2000421002
Oahu_Battery_Reg,2045,339615.059954525,0.0,17270.6857533788
Oahu_Battery_Reg,2050,313490.824573407,0.0,15942.1714646573
Oahu_CC_152,2020,1755729.98288686,.,18715.2520464
Oahu_CC_152,2023,1732064.43838616,.,18715.2520464
Oahu_CC_152,2025,1713760.28745733,.,18715.2520464
Oahu_CC_152,2030,1678815.827789,.,18715.2520464
Oahu_CC_152,2035,1652780.1034731,.,18715.2520464
