LOAD_ZONE,VEHICLE_TYPE,BID_NUM,TIMEPOINT,ev_bid_by_type
Oahu,All_Diesel_Vehicles,0,200700,45.5454931393505
Oahu,All_Diesel_Vehicles,0,200704,2.80185087672813
Oahu,All_Diesel_Vehicles,0,200708,3.97958782107153
Oahu,All_Diesel_Vehicles,0,200712,3.97958782107153
Oahu,All_Diesel_Vehicles,0,200716,31.9718378210715
Oahu,All_Diesel_Vehicles,0,200720,75.1396299202409
Oahu,All_Diesel_Vehicles,0,250700,45.5454931393505
Oahu,All_Diesel_Vehicles,0,250704,2.80185087672813
Oahu,All_Diesel_Vehicles,0,250708,3.97958782107153
Oahu,All_Diesel_Vehicles,0,250712,3.97958782107153
Oahu,All_Diesel_Vehicles,0,250716,31.9718378210715
Oahu,All_Diesel_Vehicles,0,250720,75.1396299202409
Oahu,All_Diesel_Vehicles,0,300700,45.5454931393505
Oahu,All_Diesel_Vehicles,0,300704,2.80185087672813
Oahu,All_Diesel_Vehicles,0,300708,3.97958782107153
Oahu,All_Diesel_Vehicles,0,300712,3.97958782107153
Oahu,All_Diesel_Vehicles,0,300716,31.9718378210715
Oahu,All_Diesel_Vehicles,0,300720,75.1396299202409
Oahu,All_Diesel_Vehicles,0,350700,45.5454931393505
Oahu,All_Diesel_Vehicles,0,350704,2.80185087672813
Oahu,All_Diesel_Vehicles,0,350708,3.97958782107153
Oahu,All_Diesel_Vehicles,0,350712,3.97958782107153
Oahu,All_Diesel_Vehicles,0,350716,31.9718378210715
Oahu,All_Diesel_Vehicles,0,350720,75.1396299202409
Oahu,All_Diesel_Vehicles,0,400700,45.5454931393505
Oahu,All_Diesel_Vehicles,0,400704,2.80185087672813
Oahu,All_Diesel_Vehicles,0,400708,3.97958782107153
Oahu,All_Diesel_Vehicles,0,400712,3.97958782107153
Oahu,All_Diesel_Vehicles,0,400716,31.9718378210715
Oahu,All_Diesel_Vehicles,0,400720,75.1396299202409
Oahu,All_Diesel_Vehicles,0,450700,45.5454931393505
Oahu,All_Diesel_Vehicles,0,450704,2.80185087672813
Oahu,All_Diesel_Vehicles,0,450708,3.97958782107153
Oahu,All_Diesel_Vehicles,0,450712,3.97958782107153
Oahu,All_Diesel_Vehicles,0,450716,31.9718378210715
Oahu,All_Diesel_Vehicles,0,450720,75.1396299202409
Oahu,All_Diesel_Vehicles,0,500700,45.5454931393505
Oahu,All_Diesel_Vehicles,0,500704,2.80185087672813
Oahu,All_Diesel_Vehicles,0,500708,3.97958782107153
Oahu,All_Diesel_Vehicles,0,500712,3.97958782107153
Oahu,All_Diesel_Vehicles,0,500716,31.9718378210715
Oahu,All_Diesel_Vehicles,0,500720,75.1396299202409
Oahu,All_Diesel_Vehicles,1,200700,97.7486810274289
Oahu,All_Diesel_Vehicles,1,200704,2.80185087672813
Oahu,All_Diesel_Vehicles,1,200708,3.97958782107153
Oahu,All_Diesel_Vehicles,1,200712,3.97958782107153
Oahu,All_Diesel_Vehicles,1,200716,3.97958782107153
Oahu,All_Diesel_Vehicles,1,200720,50.9286920321625
Oahu,All_Diesel_Vehicles,1,250700,97.7486810274289
Oahu,All_Diesel_Vehicles,1,250704,2.80185087672813
Oahu,All_Diesel_Vehicles,1,250708,3.97958782107153
Oahu,All_Diesel_Vehicles,1,250712,3.97958782107153
Oahu,All_Diesel_Vehicles,1,250716,3.97958782107153
Oahu,All_Diesel_Vehicles,1,250720,50.9286920321625
Oahu,All_Diesel_Vehicles,1,300700,97.7486810274289
Oahu,All_Diesel_Vehicles,1,300704,2.80185087672813
Oahu,All_Diesel_Vehicles,1,300708,3.97958782107153
Oahu,All_Diesel_Vehicles,1,300712,3.97958782107153
Oahu,All_Diesel_Vehicles,1,300716,3.97958782107153
Oahu,All_Diesel_Vehicles,1,300720,50.9286920321625
Oahu,All_Diesel_Vehicles,1,350700,97.7486810274289
Oahu,All_Diesel_Vehicles,1,350704,2.80185087672813
Oahu,All_Diesel_Vehicles,1,350708,3.97958782107153
Oahu,All_Diesel_Vehicles,1,350712,3.97958782107153
Oahu,All_Diesel_Vehicles,1,350716,3.97958782107153
Oahu,All_Diesel_Vehicles,1,350720,50.9286920321625
Oahu,All_Diesel_Vehicles,1,400700,97.7486810274289
Oahu,All_Diesel_Vehicles,1,400704,2.80185087672813
Oahu,All_Diesel_Vehicles,1,400708,3.97958782107153
Oahu,All_Diesel_Vehicles,1,400712,3.97958782107153
Oahu,All_Diesel_Vehicles,1,400716,3.97958782107153
Oahu,All_Diesel_Vehicles,1,400720,50.9286920321625
Oahu,All_Diesel_Vehicles,1,450700,97.7486810274289
Oahu,All_Diesel_Vehicles,1,450704,2.80185087672813
Oahu,All_Diesel_Vehicles,1,450708,3.97958782107153
Oahu,All_Diesel_Vehicles,1,450712,3.97958782107153
Oahu,All_Diesel_Vehicles,1,450716,3.97958782107153
Oahu,All_Diesel_Vehicles,1,450720,50.9286920321625
Oahu,All_Diesel_Vehicles,1,500700,97.7486810274289
Oahu,All_Diesel_Vehicles,1,500704,2.80185087672813
Oahu,All_Diesel_Vehicles,1,500708,3.97958782107153
Oahu,All_Diesel_Vehicles,1,500712,3.97958782107153
Oahu,All_Diesel_Vehicles,1,500716,3.97958782107153
Oahu,All_Diesel_Vehicles,1,500720,50.9286920321625
Oahu,All_Diesel_Vehicles,2,200700,79.0661158873458
Oahu,All_Diesel_Vehicles,2,200704,64.7308844242502
Oahu,All_Diesel_Vehicles,2,200708,3.97958782107153
Oahu,All_Diesel_Vehicles,2,200712,3.97958782107153
Oahu,All_Diesel_Vehicles,2,200716,3.97958782107153
Oahu,All_Diesel_Vehicles,2,200720,7.68222362472345
Oahu,All_Diesel_Vehicles,2,250700,79.0661158873458
Oahu,All_Diesel_Vehicles,2,250704,64.7308844242502
Oahu,All_Diesel_Vehicles,2,250708,3.97958782107153
Oahu,All_Diesel_Vehicles,2,250712,3.97958782107153
Oahu,All_Diesel_Vehicles,2,250716,3.97958782107153
Oahu,All_Diesel_Vehicles,2,250720,7.68222362472345
Oahu,All_Diesel_Vehicles,2,300700,79.0661158873458
Oahu,All_Diesel_Vehicles,2,300704,64.7308844242502
Oahu,All_Diesel_Vehicles,2,300708,3.97958782107153
Oahu,All_Diesel_Vehicles,2,300712,3.97958782107153
Oahu,All_Diesel_Vehicles,2,300716,3.97958782107153
Oahu,All_Diesel_Vehicles,2,300720,7.68222362472345
Oahu,All_Diesel_Vehicles,2,350700,79.0661158873458
Oahu,All_Diesel_Vehicles,2,350704,64.7308844242502
Oahu,All_Diesel_Vehicles,2,350708,3.97958782107153
Oahu,All_Diesel_Vehicles,2,350712,3.97958782107153
Oahu,All_Diesel_Vehicles,2,350716,3.97958782107153
Oahu,All_Diesel_Vehicles,2,350720,7.68222362472345
Oahu,All_Diesel_Vehicles,2,400700,79.0661158873458
Oahu,All_Diesel_Vehicles,2,400704,64.7308844242502
Oahu,All_Diesel_Vehicles,2,400708,3.97958782107153
Oahu,All_Diesel_Vehicles,2,400712,3.97958782107153
Oahu,All_Diesel_Vehicles,2,400716,3.97958782107153
Oahu,All_Diesel_Vehicles,2,400720,7.68222362472345
Oahu,All_Diesel_Vehicles,2,450700,79.0661158873458
Oahu,All_Diesel_Vehicles,2,450704,64.7308844242502
Oahu,All_Diesel_Vehicles,2,450708,3.97958782107153
