GENERATION_PROJECT,build_year,gen_overnight_cost,gen_storage_energy_overnight_cost,gen_fixed_om
Oahu_Airport_DSG,2013,574324.697098231,.,8418.68374650717
Oahu_Battery_Bulk,2025,239021.878969325,274528.752294479,26115.9548466258
Oahu_Battery_Bulk,2045,158067.043081701,181548.016872823,17270.6857533788
Oahu_Battery_Conting,2025,376286.255116564,0.0,26115.9548466258
Oahu_Battery_Conting,2045,248841.051518113,0.0,17270.6857533788
Oahu_Battery_Reg,2025,513550.631263804,0.0,26115.9548466258
Oahu_Battery_Reg,2045,339615.059954525,0.0,17270.6857533788
Oahu_CC_152,2025,1713760.28745733,.,18715.2520464
Oahu_CC_152,2045,1635660.20917636,.,18715.2520464
Oahu_CIP_CT,2009,574324.697098231,.,14999.7080526672
Oahu_CentralTrackingPV_PV_01,2017,4431902.55592472,.,24311.4263136
Oahu_CentralTrackingPV_PV_01,2025,1868288.15712374,.,13341.5986366287
Oahu_CentralTrackingPV_PV_01,2045,1236932.43312541,.,8833.03573940852
Oahu_CentralTrackingPV_PV_02,2017,4431902.55592472,.,24311.4263136
Oahu_CentralTrackingPV_PV_02,2020,2309490.62081254,.,16492.2615392345
Oahu_CentralTrackingPV_PV_02,2025,1868288.15712374,.,13341.5986366287
Oahu_CentralTrackingPV_PV_02,2045,1236932.43312541,.,8833.03573940852
Oahu_CentralTrackingPV_PV_03,2012,6029381.48988352,.,24311.4263136
Oahu_CentralTrackingPV_PV_03,2025,1868288.15712374,.,13341.5986366287
Oahu_CentralTrackingPV_PV_03,2045,1236932.43312541,.,8833.03573940852
Oahu_CentralTrackingPV_PV_04,2012,6180704.21725379,.,24311.4263136
Oahu_CentralTrackingPV_PV_04,2014,4844769.58387738,.,24311.4263136
Oahu_CentralTrackingPV_PV_04,2025,1868288.15712374,.,13341.5986366287
Oahu_CentralTrackingPV_PV_04,2045,1236932.43312541,.,8833.03573940852
Oahu_CentralTrackingPV_PV_05,2020,2309490.62081254,.,16492.2615392345
Oahu_CentralTrackingPV_PV_05,2025,1868288.15712374,.,13341.5986366287
Oahu_CentralTrackingPV_PV_05,2045,1236932.43312541,.,8833.03573940852
Oahu_CentralTrackingPV_PV_06,2012,6105042.85356865,.,24311.4263136
Oahu_CentralTrackingPV_PV_06,2025,1868288.15712374,.,13341.5986366287
Oahu_CentralTrackingPV_PV_06,2045,1236932.43312541,.,8833.03573940852
Oahu_CentralTrackingPV_PV_07,2016,4431902.55592472,.,24311.4263136
Oahu_CentralTrackingPV_PV_07,2020,2309490.62081254,.,16492.2615392345
Oahu_CentralTrackingPV_PV_07,2025,1868288.15712374,.,13341.5986366287
Oahu_CentralTrackingPV_PV_07,2045,1236932.43312541,.,8833.03573940852
Oahu_CentralTrackingPV_PV_08,2025,1868288.15712374,.,13341.5986366287
Oahu_CentralTrackingPV_PV_08,2045,1236932.43312541,.,8833.03573940852
Oahu_CentralTrackingPV_PV_09,2025,1868288.15712374,.,13341.5986366287
