BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,MaximumContingencyUp
system_wide_balancing_area,2007011200,180.0
system_wide_balancing_area,2007011202,180.0
system_wide_balancing_area,2007011204,180.0
system_wide_balancing_area,2007011206,180.0
system_wide_balancing_area,2007011208,180.0
system_wide_balancing_area,2007011210,180.0
system_wide_balancing_area,2007011212,180.0
system_wide_balancing_area,2007011214,180.0
system_wide_balancing_area,2007011216,180.0
system_wide_balancing_area,2007011218,180.0
system_wide_balancing_area,2007011220,180.0
system_wide_balancing_area,2007011222,180.0
system_wide_balancing_area,2007011900,180.0
system_wide_balancing_area,2007011902,180.0
system_wide_balancing_area,2007011904,180.0
system_wide_balancing_area,2007011906,180.0
system_wide_balancing_area,2007011908,180.0
system_wide_balancing_area,2007011910,180.0
system_wide_balancing_area,2007011912,180.0
system_wide_balancing_area,2007011914,180.0
system_wide_balancing_area,2007011916,180.0
system_wide_balancing_area,2007011918,180.0
system_wide_balancing_area,2007011920,180.0
system_wide_balancing_area,2007011922,180.0
system_wide_balancing_area,2007021200,180.0
system_wide_balancing_area,2007021202,180.0
system_wide_balancing_area,2007021204,180.0
system_wide_balancing_area,2007021206,180.0
system_wide_balancing_area,2007021208,180.0
system_wide_balancing_area,2007021210,180.0
system_wide_balancing_area,2007021212,180.0
system_wide_balancing_area,2007021214,180.0
system_wide_balancing_area,2007021216,180.0
system_wide_balancing_area,2007021218,180.0
system_wide_balancing_area,2007021220,180.0
system_wide_balancing_area,2007021222,180.0
system_wide_balancing_area,2007050200,180.0
system_wide_balancing_area,2007050202,180.0
system_wide_balancing_area,2007050204,180.0
system_wide_balancing_area,2007050206,180.0
system_wide_balancing_area,2007050208,180.0
system_wide_balancing_area,2007050210,180.0
system_wide_balancing_area,2007050212,180.0
system_wide_balancing_area,2007050214,180.0
system_wide_balancing_area,2007050216,180.0
system_wide_balancing_area,2007050218,180.0
system_wide_balancing_area,2007050220,180.0
system_wide_balancing_area,2007050222,180.0
system_wide_balancing_area,2007092200,180.0
system_wide_balancing_area,2007092202,180.0
