load_zone,technology,period,capacity
Oahu,AES,2020,180.0
Oahu,AES,2023,0.0
Oahu,AES,2025,0.0
Oahu,AES,2030,0.0
Oahu,AES,2035,0.0
Oahu,AES,2040,0.0
Oahu,AES,2045,0.0
Oahu,AES,2050,0.0
Oahu,Airport_DSG,2020,8.0
Oahu,Airport_DSG,2023,8.0
Oahu,Airport_DSG,2025,8.0
Oahu,Airport_DSG,2030,8.0
Oahu,Airport_DSG,2035,8.0
Oahu,Airport_DSG,2040,8.0
Oahu,Airport_DSG,2045,8.0
Oahu,Airport_DSG,2050,8.0
Oahu,Battery_Bulk,2020,0.0
Oahu,Battery_Bulk,2023,426.5
Oahu,Battery_Bulk,2025,598.5
Oahu,Battery_Bulk,2030,598.5
Oahu,Battery_Bulk,2035,598.5
Oahu,Battery_Bulk,2040,630.9644195738585
Oahu,Battery_Bulk,2045,886.1609491282532
Oahu,Battery_Bulk,2050,920.2576418413813
Oahu,Battery_Bulk_MWh,2020,0.0
Oahu,Battery_Bulk_MWh,2023,1530.99
Oahu,Battery_Bulk_MWh,2025,2345.99
Oahu,Battery_Bulk_MWh,2030,3803.2174975954076
Oahu,Battery_Bulk_MWh,2035,4585.0985882957375
Oahu,Battery_Bulk_MWh,2040,4804.344119929989
Oahu,Battery_Bulk_MWh,2045,7235.278819747566
Oahu,Battery_Bulk_MWh,2050,6525.031888877496
Oahu,CIP_CT,2020,113.0
Oahu,CIP_CT,2023,113.0
Oahu,CIP_CT,2025,113.0
Oahu,CIP_CT,2030,113.0
Oahu,CIP_CT,2035,113.0
Oahu,CIP_CT,2040,113.0
Oahu,CIP_CT,2045,113.0
Oahu,CIP_CT,2050,113.0
Oahu,CentralTrackingPV,2020,185.7
Oahu,CentralTrackingPV,2023,450.7
Oahu,CentralTrackingPV,2025,777.7
Oahu,CentralTrackingPV,2030,1922.745861947916
Oahu,CentralTrackingPV,2035,2038.364043075203
Oahu,CentralTrackingPV,2040,2195.6371926918664
Oahu,CentralTrackingPV,2045,3441.7563496386692
Oahu,CentralTrackingPV,2050,3441.756349638669
Oahu,DistBattery,2020,38.097
Oahu,DistBattery,2023,63.893
Oahu,DistBattery,2025,72.167
Oahu,DistBattery,2030,105.554
Oahu,DistBattery,2035,150.443
Oahu,DistBattery,2040,199.16500000000002
Oahu,DistBattery,2045,250.288
Oahu,DistBattery,2050,250.28799999999998
Oahu,DistBattery_MWh,2020,152.388
Oahu,DistBattery_MWh,2023,255.572
Oahu,DistBattery_MWh,2025,288.668
Oahu,DistBattery_MWh,2030,422.216
Oahu,DistBattery_MWh,2035,601.772
Oahu,DistBattery_MWh,2040,796.6600000000001
Oahu,DistBattery_MWh,2045,1001.152
Oahu,DistBattery_MWh,2050,1001.1519999999999
Oahu,FlatDistPV,2020,370.7
Oahu,FlatDistPV,2023,442.21299999999997
Oahu,FlatDistPV,2025,489.62199999999996
Oahu,FlatDistPV,2030,631.3519999999999
Oahu,FlatDistPV,2035,793.5249999999999
Oahu,FlatDistPV,2040,861.5363539656881
Oahu,FlatDistPV,2045,868.289640980531
Oahu,FlatDistPV,2050,868.289640980531
Oahu,H-Power,2020,73.0
Oahu,H-Power,2023,73.0
Oahu,H-Power,2025,73.0
Oahu,H-Power,2030,73.0
Oahu,H-Power,2035,73.0
Oahu,H-Power,2040,73.0
Oahu,H-Power,2045,73.0
Oahu,H-Power,2050,73.0
Oahu,Hawaii_Cogen,2020,12.2
Oahu,Hawaii_Cogen,2023,12.2
Oahu,Hawaii_Cogen,2025,12.2
Oahu,Hawaii_Cogen,2030,12.2
Oahu,Hawaii_Cogen,2035,12.2
Oahu,Hawaii_Cogen,2040,12.2
Oahu,Hawaii_Cogen,2045,0.0
Oahu,Hawaii_Cogen,2050,0.0
Oahu,IC_Schofield,2020,48.84
Oahu,IC_Schofield,2023,48.84
Oahu,IC_Schofield,2025,48.84
Oahu,IC_Schofield,2030,48.84
Oahu,IC_Schofield,2035,48.84
Oahu,IC_Schofield,2040,48.84
Oahu,IC_Schofield,2045,48.84
Oahu,IC_Schofield,2050,0.0
Oahu,Kahe_1,2020,82.1
Oahu,Kahe_1,2023,82.1
Oahu,Kahe_1,2025,82.1
Oahu,Kahe_1,2030,82.1
Oahu,Kahe_1,2035,0.0
Oahu,Kahe_1,2040,0.0
Oahu,Kahe_1,2045,0.0
Oahu,Kahe_1,2050,0.0
Oahu,Kahe_2,2020,82.1
Oahu,Kahe_2,2023,82.1
Oahu,Kahe_2,2025,82.1
Oahu,Kahe_2,2030,82.1
Oahu,Kahe_2,2035,0.0
Oahu,Kahe_2,2040,0.0
Oahu,Kahe_2,2045,0.0
Oahu,Kahe_2,2050,0.0
Oahu,Kahe_3,2020,86.1
Oahu,Kahe_3,2023,86.1
Oahu,Kahe_3,2025,86.1
Oahu,Kahe_3,2030,86.1
Oahu,Kahe_3,2035,86.1
Oahu,Kahe_3,2040,0.0
Oahu,Kahe_3,2045,0.0
Oahu,Kahe_3,2050,0.0
Oahu,Kahe_4,2020,85.3
Oahu,Kahe_4,2023,85.3
Oahu,Kahe_4,2025,85.3
Oahu,Kahe_4,2030,85.3
Oahu,Kahe_4,2035,85.3
Oahu,Kahe_4,2040,0.0
Oahu,Kahe_4,2045,0.0
Oahu,Kahe_4,2050,0.0
Oahu,Kahe_5,2020,134.3
Oahu,Kahe_5,2023,134.3
Oahu,Kahe_5,2025,134.3
Oahu,Kahe_5,2030,134.3
Oahu,Kahe_5,2035,134.3
Oahu,Kahe_5,2040,134.3
Oahu,Kahe_5,2045,0.0
Oahu,Kahe_5,2050,0.0
Oahu,Kahe_6,2020,134.4
Oahu,Kahe_6,2023,134.4
Oahu,Kahe_6,2025,134.4
Oahu,Kahe_6,2030,134.4
Oahu,Kahe_6,2035,134.4
Oahu,Kahe_6,2040,134.4
Oahu,Kahe_6,2045,0.0
Oahu,Kahe_6,2050,0.0
Oahu,Kalaeloa_CC1,2020,90.0
Oahu,Kalaeloa_CC1,2023,90.0
Oahu,Kalaeloa_CC1,2025,90.0
Oahu,Kalaeloa_CC1,2030,90.0
