period,variable,value
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0
2020,Pumped_Hydro_Net_Load,0.0
2020,co2_emissions,4709071.918387295
2020,ev_load,24646.045539869985
2020,gross_load,7917644.353182679
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0
2023,Pumped_Hydro_Net_Load,0.0
2023,co2_emissions,3704967.842718109
2023,ev_load,44094.82351228484
2023,gross_load,8056386.051654423
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0
2025,Pumped_Hydro_Net_Load,0.0
2025,co2_emissions,3195433.2793788225
2025,ev_load,63752.44387423623
2025,gross_load,8223605.444129768
2030,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2030,Pumped_Hydro_Net_Load,5010.136658790868
2030,co2_emissions,1227142.890997858
2030,ev_load,145082.014938711
2030,gross_load,8425359.900663232
2035,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2035,Pumped_Hydro_Net_Load,-8064.133180493303
2035,co2_emissions,1093030.6727585637
2035,ev_load,287956.64512725675
2035,gross_load,8573907.748737168
2040,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2040,Pumped_Hydro_Net_Load,-2408.1209233237682
2040,co2_emissions,1072971.0556139136
2040,ev_load,523472.7018844189
2040,gross_load,8798578.1550559
2045,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2045,Pumped_Hydro_Net_Load,-22690.82234472375
2045,co2_emissions,0.0
2045,ev_load,925893.4814995896
2045,gross_load,9000426.747959584
2050,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2050,Pumped_Hydro_Net_Load,-38939.67017110312
2050,co2_emissions,0.0
2050,ev_load,1332541.3368219663
2050,gross_load,9234899.49144973
