STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Oahu_Battery_Bulk,2020,0.0
Oahu_Battery_Bulk,2023,1530.99
Oahu_Battery_Bulk,2025,815.0
Oahu_Battery_Bulk,2030,354.62815003637076
Oahu_Battery_Bulk,2035,1015.2385670472395
Oahu_Battery_Bulk,2040,3224.860026700628
Oahu_Battery_Bulk,2045,2759.9554881673507
Oahu_Battery_Bulk,2050,1656.7374966955063
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2023,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Conting,2050,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2023,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2045,0.0
Oahu_Battery_Reg,2050,0.0
Oahu_DistBattery,2020,152.388
Oahu_DistBattery,2023,103.184
Oahu_DistBattery,2025,33.096000000000004
Oahu_DistBattery,2030,133.548
Oahu_DistBattery,2035,331.944
Oahu_DistBattery,2040,331.168
Oahu_DistBattery,2045,338.03999999999996
Oahu_DistBattery,2050,331.94399999999996
