period,variable,value
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0
2020,Pumped_Hydro_Net_Load,0.0
2020,co2_emissions,4709714.95046183
2020,ev_load,24646.04553986998
2020,gross_load,7917644.353182679
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0
2023,Pumped_Hydro_Net_Load,0.0
2023,co2_emissions,3706064.1752878614
2023,ev_load,44094.82351228487
2023,gross_load,8056386.051654423
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0
2025,Pumped_Hydro_Net_Load,0.0
2025,co2_emissions,2952996.8780250484
2025,ev_load,63752.443874236225
2025,gross_load,8223605.444129768
2030,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2030,Pumped_Hydro_Net_Load,-4038.0762438789857
2030,co2_emissions,1436385.0146546843
2030,ev_load,145082.01493871099
2030,gross_load,8425359.900663232
2035,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2035,Pumped_Hydro_Net_Load,-1754.0055027479093
2035,co2_emissions,1142979.9484546485
2035,ev_load,287956.64512725704
2035,gross_load,8573907.748737168
2040,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2040,Pumped_Hydro_Net_Load,-5393.379158089817
2040,co2_emissions,1018526.761792702
2040,ev_load,523472.7018844188
2040,gross_load,8798578.1550559
2045,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2045,Pumped_Hydro_Net_Load,-7152.047830521274
2045,co2_emissions,0.0
2045,ev_load,925893.4814995895
2045,gross_load,9000426.747959584
2050,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2050,Pumped_Hydro_Net_Load,-12429.734324029636
2050,co2_emissions,0.0
2050,ev_load,1332541.3368219659
2050,gross_load,9234899.49144973
