load_zone,period,AES,Airport_DSG,Battery_Bulk,CIP_CT,CentralTrackingPV,DistBattery,FlatDistPV,H-Power,Hawaii_Cogen,IC_Schofield,Kahe_1,Kahe_2,Kahe_3,Kahe_4,Kahe_5,Kahe_6,Kalaeloa_CC1,Kalaeloa_CC2,Kalaeloa_CC3,OffshoreWind,OnshoreWind,SlopedDistPV,Tesoro_Hawaii,Waiau_10,Waiau_3,Waiau_4,Waiau_5,Waiau_6,Waiau_7,Waiau_8,Waiau_9,hydro,fuel cells
Oahu,2020,180.0,0.0,0.0,0.0,185.7,38.097,370.7000000000001,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,99.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0
Oahu,2021,180.0,0.0,12.5,0.0,206.7,51.065,400.21,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0
Oahu,2022,180.0,0.0,139.5,0.0,333.7,60.757999999999996,423.045,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,82.9,86.1,0.0,0.0,0
Oahu,2023,0.0,0.0,426.5,0.0,450.7000000000001,63.893,442.213,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,0.0,0
Oahu,2024,0.0,0.0,598.5,0.0,627.7,67.625,465.3,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,0.0,0
Oahu,2025,0.0,0.0,598.5,0.0,777.7,72.167,489.622,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,123.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,0.0,0
Oahu,2026,0.0,0.0,598.5,0.0,1006.7091723895833,77.491,515.51,73.0,12.2,48.84,82.1,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,163.0,303.299999999999,20.0,0.0,0.0,0.0,0.0,0.0,0.0,86.1,0.0,0.0,0
Oahu,2027,0.0,0.0,598.5,0.0,1235.7183447791665,83.606,542.75,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,203.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0
Oahu,2028,0.0,0.0,598.5,0.0,1464.7275171687497,90.32499999999999,571.137,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,243.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0
Oahu,2029,0.0,8.0,598.5,0.0,1693.7366895583327,97.64099999999999,600.8299999999999,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,283.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,0
Oahu,2030,0.0,8.0,598.5,113.0,1922.7458619479157,105.554,631.3520000000001,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
Oahu,2031,0.0,8.0,598.5,113.0,1945.869498173373,113.90899999999999,662.672,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
Oahu,2032,0.0,8.0,598.5,113.0,1968.9931343988305,122.63199999999999,694.9060000000001,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
Oahu,2033,0.0,8.0,598.5,113.0,1992.1167706242877,131.63799999999998,727.326,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
Oahu,2034,0.0,8.0,598.5,113.0,2015.2404068497453,140.95299999999997,760.306,73.0,12.2,48.84,0.0,82.1,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
Oahu,2035,0.0,8.0,598.5,113.0,2038.3640430752027,150.44300000000004,793.5249999999999,73.0,12.2,48.84,0.0,0.0,86.1,85.3,134.3,134.4,90.0,90.0,28.0,0.0,323.0,303.299999999999,20.0,49.9,0.0,0.0,0.0,0.0,0.0,0.0,52.9,150.0,0
