GENERATION_PROJECT,PERIOD,gen_tech,gen_load_zone,gen_energy_source,GenCapacity,GenCapitalCosts,GenFixedOMCosts
Oahu_AES,2020,AES,Oahu,multiple,180,3.13312e+07,1.46776e+07
Oahu_AES,2021,AES,Oahu,multiple,180,3.13312e+07,1.46776e+07
Oahu_AES,2022,AES,Oahu,multiple,180,3.13312e+07,1.46776e+07
Oahu_Airport_DSG,2020,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2021,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2022,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2023,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2024,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2025,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2026,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2027,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2028,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2029,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2030,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2031,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2032,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2033,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2034,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2035,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2036,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2037,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2038,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2039,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2040,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2041,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2042,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2043,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2044,Airport_DSG,Oahu,multiple,8,283792,67349.5
Oahu_Airport_DSG,2045,Airport_DSG,Oahu,multiple,8,283792,67349.5
