generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_Bulk,2020,Oahu,0,0,0,0
Oahu_Battery_Bulk,2021,Oahu,12.5,50,12.5,50
Oahu_Battery_Bulk,2022,Oahu,127,508,139.5,558
Oahu_Battery_Bulk,2023,Oahu,287,972.99,426.5,1530.99
Oahu_Battery_Bulk,2024,Oahu,172,815,598.5,2345.99
Oahu_Battery_Bulk,2025,Oahu,0,0,598.5,2345.99
Oahu_Battery_Bulk,2026,Oahu,0,291.445,598.5,2637.44
Oahu_Battery_Bulk,2027,Oahu,0,291.445,598.5,2928.88
Oahu_Battery_Bulk,2028,Oahu,0,291.445,598.5,3220.33
Oahu_Battery_Bulk,2029,Oahu,0,291.445,598.5,3511.77
Oahu_Battery_Bulk,2030,Oahu,0,291.445,598.5,3803.22
Oahu_Battery_Bulk,2031,Oahu,0,156.376,598.5,3959.59
Oahu_Battery_Bulk,2032,Oahu,0,156.376,598.5,4115.97
Oahu_Battery_Bulk,2033,Oahu,0,156.376,598.5,4272.35
Oahu_Battery_Bulk,2034,Oahu,0,156.376,598.5,4428.72
Oahu_Battery_Bulk,2035,Oahu,0,156.376,598.5,4585.1
Oahu_Battery_Bulk,2036,Oahu,18.9929,93.8491,604.993,4628.95
Oahu_Battery_Bulk,2037,Oahu,133.493,551.849,611.486,4672.8
Oahu_Battery_Bulk,2038,Oahu,293.493,1016.84,617.979,4716.65
Oahu_Battery_Bulk,2039,Oahu,178.493,858.849,624.472,4760.5
Oahu_Battery_Bulk,2040,Oahu,6.49288,43.8491,630.964,4804.34
Oahu_Battery_Bulk,2041,Oahu,51.0393,777.632,682.004,5290.53
Oahu_Battery_Bulk,2042,Oahu,51.0393,777.632,733.043,5776.72
Oahu_Battery_Bulk,2043,Oahu,51.0393,777.632,784.082,6262.9
Oahu_Battery_Bulk,2044,Oahu,51.0393,777.632,835.122,6749.09
Oahu_Battery_Bulk,2045,Oahu,51.0393,777.632,886.161,7235.28
Oahu_Battery_Bulk,2046,Oahu,6.81934,71.6342,892.98,7150.54
Oahu_Battery_Bulk,2047,Oahu,0,0,892.98,6994.16
Oahu_Battery_Bulk,2048,Oahu,0,0,892.98,6837.78
Oahu_Battery_Bulk,2049,Oahu,0,0,892.98,6681.41
Oahu_Battery_Bulk,2050,Oahu,0,0,892.98,6525.03
Oahu_Battery_Conting,2020,Oahu,0,0,0,0
Oahu_Battery_Conting,2021,Oahu,0,0,0,0
Oahu_Battery_Conting,2022,Oahu,0,0,0,0
Oahu_Battery_Conting,2023,Oahu,0,0,0,0
Oahu_Battery_Conting,2024,Oahu,0,0,0,0
Oahu_Battery_Conting,2025,Oahu,0,0,0,0
Oahu_Battery_Conting,2026,Oahu,0,0,0,0
Oahu_Battery_Conting,2027,Oahu,0,0,0,0
Oahu_Battery_Conting,2028,Oahu,0,0,0,0
Oahu_Battery_Conting,2029,Oahu,0,0,0,0
Oahu_Battery_Conting,2030,Oahu,0,0,0,0
Oahu_Battery_Conting,2031,Oahu,0,0,0,0
Oahu_Battery_Conting,2032,Oahu,0,0,0,0
Oahu_Battery_Conting,2033,Oahu,0,0,0,0
Oahu_Battery_Conting,2034,Oahu,0,0,0,0
Oahu_Battery_Conting,2035,Oahu,0,0,0,0
Oahu_Battery_Conting,2036,Oahu,0,0,0,0
Oahu_Battery_Conting,2037,Oahu,0,0,0,0
Oahu_Battery_Conting,2038,Oahu,0,0,0,0
Oahu_Battery_Conting,2039,Oahu,0,0,0,0
Oahu_Battery_Conting,2040,Oahu,0,0,0,0
Oahu_Battery_Conting,2041,Oahu,0,0,0,0
Oahu_Battery_Conting,2042,Oahu,0,0,0,0
Oahu_Battery_Conting,2043,Oahu,0,0,0,0
Oahu_Battery_Conting,2044,Oahu,0,0,0,0
Oahu_Battery_Conting,2045,Oahu,0,0,0,0
Oahu_Battery_Conting,2046,Oahu,0,0,0,0
Oahu_Battery_Conting,2047,Oahu,0,0,0,0
