STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Oahu_Battery_Bulk,2020,0.0
Oahu_Battery_Bulk,2021,50.0
Oahu_Battery_Bulk,2022,1708.0
Oahu_Battery_Bulk,2023,0.0
Oahu_Battery_Bulk,2024,0.0
Oahu_Battery_Bulk,2025,0.0
Oahu_Battery_Bulk,2026,0.0
Oahu_Battery_Bulk,2027,0.0
Oahu_Battery_Bulk,2028,0.0
Oahu_Battery_Bulk,2029,0.0
Oahu_Battery_Bulk,2030,660.0
Oahu_Battery_Bulk,2031,0.0
Oahu_Battery_Bulk,2032,0.0
Oahu_Battery_Bulk,2033,0.0
Oahu_Battery_Bulk,2034,0.0
Oahu_Battery_Bulk,2035,672.0
Oahu_Battery_Bulk,2036,50.0
Oahu_Battery_Bulk,2037,1708.0
Oahu_Battery_Bulk,2038,0.0
Oahu_Battery_Bulk,2039,0.0
Oahu_Battery_Bulk,2040,1680.0
Oahu_Battery_Bulk,2041,0.0
Oahu_Battery_Bulk,2042,0.0
Oahu_Battery_Bulk,2043,0.0
Oahu_Battery_Bulk,2044,0.0
Oahu_Battery_Bulk,2045,6760.0
Oahu_Battery_Bulk,2046,0.0
Oahu_Battery_Bulk,2047,0.0
Oahu_Battery_Bulk,2048,0.0
Oahu_Battery_Bulk,2049,0.0
Oahu_Battery_Bulk,2050,672.0
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2021,0.0
Oahu_Battery_Conting,2022,0.0
Oahu_Battery_Conting,2023,0.0
Oahu_Battery_Conting,2024,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2026,0.0
Oahu_Battery_Conting,2027,0.0
Oahu_Battery_Conting,2028,0.0
Oahu_Battery_Conting,2029,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2031,0.0
Oahu_Battery_Conting,2032,0.0
Oahu_Battery_Conting,2033,0.0
Oahu_Battery_Conting,2034,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2036,0.0
Oahu_Battery_Conting,2037,0.0
Oahu_Battery_Conting,2038,0.0
Oahu_Battery_Conting,2039,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2041,0.0
Oahu_Battery_Conting,2042,0.0
Oahu_Battery_Conting,2043,0.0
Oahu_Battery_Conting,2044,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Conting,2046,0.0
Oahu_Battery_Conting,2047,0.0
Oahu_Battery_Conting,2048,0.0
Oahu_Battery_Conting,2049,0.0
Oahu_Battery_Conting,2050,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2021,0.0
Oahu_Battery_Reg,2022,0.0
Oahu_Battery_Reg,2023,0.0
Oahu_Battery_Reg,2024,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2026,0.0
Oahu_Battery_Reg,2027,0.0
Oahu_Battery_Reg,2028,0.0
Oahu_Battery_Reg,2029,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2031,0.0
Oahu_Battery_Reg,2032,0.0
Oahu_Battery_Reg,2033,0.0
Oahu_Battery_Reg,2034,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2036,0.0
Oahu_Battery_Reg,2037,0.0
Oahu_Battery_Reg,2038,0.0
Oahu_Battery_Reg,2039,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2041,0.0
Oahu_Battery_Reg,2042,0.0
Oahu_Battery_Reg,2043,0.0
Oahu_Battery_Reg,2044,0.0
Oahu_Battery_Reg,2045,0.0
Oahu_Battery_Reg,2046,0.0
Oahu_Battery_Reg,2047,0.0
Oahu_Battery_Reg,2048,0.0
Oahu_Battery_Reg,2049,0.0
Oahu_Battery_Reg,2050,0.0
Oahu_DistBattery,2020,152.388
Oahu_DistBattery,2021,0.0
Oahu_DistBattery,2022,0.0
Oahu_DistBattery,2023,0.0
Oahu_DistBattery,2024,27.24799999999999
Oahu_DistBattery,2025,38.772000000000006
Oahu_DistBattery,2026,12.539999999999964
Oahu_DistBattery,2027,14.927999999999997
Oahu_DistBattery,2028,18.168000000000006
Oahu_DistBattery,2029,21.295999999999992
Oahu_DistBattery,2030,24.46000000000005
Oahu_DistBattery,2031,26.87599999999992
Oahu_DistBattery,2032,29.26400000000001
Oahu_DistBattery,2033,31.651999999999987
Oahu_DistBattery,2034,33.420000000000016
Oahu_DistBattery,2035,187.2800000000001
Oahu_DistBattery,2036,36.024
Oahu_DistBattery,2037,37.25999999999999
Oahu_DistBattery,2038,37.960000000000036
Oahu_DistBattery,2039,65.47199999999992
Oahu_DistBattery,2040,77.52400000000017
Oahu_DistBattery,2041,51.6479999999998
Oahu_DistBattery,2042,54.236000000000104
Oahu_DistBattery,2043,57.663999999999874
Oahu_DistBattery,2044,61.05200000000008
Oahu_DistBattery,2045,64.85200000000003
Oahu_DistBattery,2046,26.87599999999992
Oahu_DistBattery,2047,29.26400000000001
Oahu_DistBattery,2048,31.651999999999987
Oahu_DistBattery,2049,33.420000000000016
Oahu_DistBattery,2050,187.2800000000001
