owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,amortized_cost,53049671.52312381,53049671.52312381,53049671.52312381,49795502.315563984,49795502.315563984,49795502.315563984,45992506.524316154,45992506.524316154,36205138.49585516,36205138.49585516,36205138.49585516,30237785.74150358,30237785.74150358,30237785.74150358,30237785.74150358,24490353.25177571,24490353.25177571,24490353.25177571,24490353.25177571,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,7864839.700663228,7864839.700663228
HECO,capacity_in_place,1247.14,1247.14,1247.14,1153.94,1153.94,1153.94,1045.94,1045.94,777.24,777.24,777.24,608.24,608.24,608.24,608.24,444.03999999999996,444.03999999999996,444.03999999999996,444.03999999999996,272.64,272.64,272.64,272.64,272.64,272.64,272.64,272.64,272.64,223.8,223.8
HECO,capacity_retired,0.0,0.0,0.0,93.2,0.0,0.0,108.0,0.0,268.70000000000005,0.0,0.0,169.0,0.0,0.0,0.0,164.2,0.0,0.0,0.0,171.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.84,0.0
HECO,fixed_om,15928523.03764372,15928523.03764372,15928523.03764372,14933988.245362315,14933988.245362315,14933988.245362315,13781523.035422489,13781523.035422489,10914232.276988868,10914232.276988868,10914232.276988868,9110837.642916363,9110837.642916363,9110837.642916363,9110837.642916363,7358663.684841185,7358663.684841185,7358663.684841185,7358663.684841185,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,3707896.811280991,3707896.811280991
HECO,fuel_cost,384789220.3658181,364032779.0967502,354828414.8902172,424069900.6084605,441683008.1480005,293551196.7300421,150755230.27100804,158213648.5536525,38992198.33391118,43124787.02726849,23820389.674937416,23340193.15675772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.256214987172208e-06,2.284580987049341e-06,0.0,0.0,-4.817829632357056e-08,-1.1566307457917118e-07,1.1756294286446383e-07,-1.3876627416543472e-07,-6.034800674048089e-08
HECO,non_renewable_output,2970558.6699491753,2939937.9437614502,2739778.69237112,3460898.270690488,3530726.396971088,2210924.8200068427,1042221.7560191273,1070729.5779660621,197356.1023629734,223812.7306171109,151159.0864808056,146686.00864242658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECO,renewable_output,0.0,580.3248968277329,0.0,4432.756636012187,2546.637532066995,6491.27458788117,5733.079302017435,5534.762920192868,6647.009080897454,6508.087076107406,1581.0803931692371,1435.0479890780264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1415597185251682e-11,0.0,0.0,0.0,0.0,0.0,0.0
HECO,total_output,2970558.6699491753,2940518.2686582785,2739778.69237112,3465331.0273265005,3533273.0345031545,2217416.094594724,1047954.8353211447,1076264.340886255,204003.11144387085,230320.81769321833,152740.16687397484,148121.05663150462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1415597185251682e-11,0.0,0.0,0.0,0.0,0.0,0.0
HECO,variable_om,31100665.1122433,30793243.56714663,28684482.974561807,36335450.649023,37025488.48118959,23312963.778077558,11039716.760640772,11270308.914993161,2226923.643504116,2478103.993940201,1598619.2242062662,1572261.290941796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.886115744711095e-11,0.0,0.0,0.0,0.0,0.0,0.0
PPA,amortized_cost,127764908.59437114,136848047.1851309,226168288.0644733,194837106.2379292,194837106.2379292,273989271.45873696,294456354.6168188,294456354.6168188,314805611.0970602,314805611.0970602,333294904.3189041,333294904.3189041,373418844.44774455,373418844.44774455,373418844.44774455,391067715.2504138,390024666.10485464,360367464.52269524,360367464.52269524,360367464.52269524,425813801.71425605,414928371.1661282,395402661.5556575,395402661.5556575,394050815.87372166,634065996.7443606,632492936.4939176,624573384.188387,624573384.188387,624573384.188387
PPA,capacity_added,134.6,57.5,454.0,0.0,0.0,637.5,150.586,0.0,150.586,0.0,165.0,0.0,301.172,0.0,0.0,168.0,12.5,327.0,0.0,0.0,700.0,30.0,76.0,0.0,5.0,2937.145568,6.5,32.6,0.0,0.0
PPA,capacity_in_place,777.9,835.4,1289.4,1109.4,1109.4,1746.9,1897.486,1897.486,2048.072,2048.072,2213.072,2213.072,2514.2439999999997,2514.2439999999997,2514.2439999999997,2682.2439999999997,2682.2439999999997,2682.2439999999997,2682.2439999999997,2682.2439999999997,3382.2439999999997,3382.2439999999997,3382.2439999999997,3382.2439999999997,3382.2439999999997,6122.189568,6122.189568,6122.189568000001,6122.189568000001,6122.189568000001
PPA,capacity_retired,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,327.0,0.0,0.0,0.0,30.0,76.0,0.0,5.0,197.2,6.5,32.6,0.0,0.0
PPA,capital_outlay,231939528.5581514,115550093.60082173,939755948.217252,0.0,0.0,1089516189.5392125,281725943.83448935,0.0,280104079.50887585,0.0,179572619.37790033,0.0,552299261.00596,0.0,0.0,171410227.58799595,12583687.34276955,406297712.6334525,0.0,0.0,733969616.5331486,49518960.39801936,120722804.8861016,0.0,5689135.989544505,2949967257.7652955,7228828.747234258,36466679.86029102,0.0,0.0
PPA,fixed_om,39438832.373224996,41267828.04073054,54041362.13330998,39363739.17652913,39363739.17652913,47869008.30737993,50687263.25203912,50687263.25203912,53505518.196698315,53505518.196698315,57012795.91892292,57012795.91892292,62649305.80824131,62649305.80824131,62649305.80824131,65997161.81581935,65799303.35862949,61302825.72329436,61302825.72329436,61302825.72329436,71714477.08084151,71257547.6647255,70079191.38098182,70079191.38098182,70002252.0614424,108000572.93565038,107899374.97358714,107388877.10222524,107388877.10222524,107388877.10222524
PPA,fuel_cost,237899540.2716472,200144973.5038819,188290687.3046903,207002564.95606834,211915855.60530907,209945898.53911832,327425838.72797704,333595251.2635286,425572830.50299054,435182859.5918382,455675436.7863994,465916622.20772874,462668294.56810266,477005969.72127837,484660925.3891051,493357871.3922353,503783642.4225924,513660105.3923432,524631816.27500635,538646580.4435453,595570301.6722528,600139171.3211255,593643504.5170656,610687231.9680024,630371401.8421184,381264606.3656632,406792304.018312,441689269.4733315,474166786.4553995,504308105.2401789
PPA,non_renewable_output,2592629.2545332755,2638078.6788230175,2724454.8365623336,2068304.0000000016,2068304.0000000016,1999030.634923477,3206875.4758194447,3214006.528721243,4118340.2269685273,4127961.8815372176,4266852.400266837,4279325.109520125,4357313.619762703,4394002.655885288,4393420.576143309,4398790.8249816,4414185.370483217,4436760.234227102,4460157.904598563,4505667.97412176,2820242.185920498,2848415.091349869,2881932.6051318026,2921454.593351379,2963699.8508160305,-2.376441944039769e-10,-2.327354876143188e-10,-2.5896282214743485e-10,-2.477327284164432e-10,-2.733607440973336e-10
PPA,renewable_output,1218069.7408903965,1223844.5723230022,1435763.1523110813,1435763.1523110815,1435763.1523110818,2969004.7873736066,2969004.7873736066,2969004.7873736066,2969004.7873736066,2969004.7873736066,2969004.7873736066,2969004.787373606,2969004.7873736066,2969004.7873736066,2969004.7873736033,2969004.787373602,2969004.7873736066,2969004.7873736066,2969004.7873736066,2969004.787373606,4740755.984694444,4748157.173665268,4767852.340942439,4794870.067798068,4825993.399047982,8076662.234243516,8205242.034544033,8342509.647785291,8443020.409511464,8556955.41350854
PPA,storage_load,0.0,2345.8681536372624,30491.627270681518,29316.525840109724,24528.50200966144,56147.59251641285,60624.22366316402,57696.04404516688,63678.85603096918,64766.137054537714,78257.18495135792,81555.25638354385,34259.89694006434,33427.74842461488,36025.2471608294,36081.302180823295,42714.9628725145,37156.08492503659,41218.377080335325,46504.21506460292,64516.98666495409,62536.25671992857,69232.30688579763,71812.91041798593,72692.33310891107,240091.56089373014,244213.7792327646,240697.3671822964,231009.84357520414,225654.1039058014
PPA,storage_net_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1908522671710844e-08,0.0,0.0,0.0,0.0,0.0,0.0
PPA,total_output,3810698.9954236723,3861923.25114602,4160217.988873415,3504067.152311083,3504067.152311084,4968035.422297084,6175880.263193051,6183011.31609485,7087345.014342134,7096966.668910824,7235857.187640443,7248329.896893732,7326318.407136311,7363007.443258895,7362425.363516912,7367795.612355202,7383190.157856824,7405765.021600709,7429162.69197217,7474672.761495368,7560998.170614943,7596572.265015138,7649784.94607424,7716324.661149446,7789693.249864012,8076662.234243514,8205242.034544032,8342509.64778529,8443020.409511464,8556955.41350854
PPA,variable_om,79706627.98973347,79570697.71790642,79623330.53297253,74914172.36031719,74914172.36031719,74858382.60264692,80948335.73834051,80888458.60404468,86311865.98684555,86406505.55481537,86923467.39320347,86938333.84392382,90230363.00974393,90408676.14260092,90405847.16497342,90431947.22089687,90506766.56551342,90616483.12128615,90730198.61633354,90951383.03355585,88167032.55344869,88204180.5858098,87920446.45887016,88243837.48541088,88600417.66002436,66647147.23066557,67092438.73003653,67730319.92600106,68320852.80492389,68882303.56095402
distributed,amortized_cost,228934542.09592152,228934542.09592152,228934542.09592152,228934542.09592152,229956549.79274625,231291036.5705431,231706585.56174004,232182145.7937349,233790885.74942034,237914529.0807196,242067444.53239554,246376359.52039224,250860376.9301514,255452686.93054575,260132750.87383747,261304857.39671516,266078206.08943367,270869146.4130074,275958660.2871261,280586385.63069004,285181363.2836059,289668688.52308804,294101672.7671017,261426537.69095567,232206032.87375844,216198777.00393912,198626850.73233217,177954450.24588174,169329748.73196054,166122754.04964766
distributed,capacity_added,179.09699999999998,0.0,0.0,0.0,6.811999999999998,9.693,3.134999999999991,3.7319999999999993,11.841999999999842,31.12399999999995,33.41500000000012,35.11899999999984,37.01600000000005,38.41299999999996,39.65499999999996,79.02000000000018,41.505999999999894,42.21499999999998,42.789999999999935,49.068000000000026,52.581000000000216,45.91199999999972,46.658999999999935,166.7159999999999,150.76299999999975,111.51299999999982,66.71899999999978,75.316,98.91300000000011,39.35499999999983
distributed,capacity_in_place,712.0969999999992,712.0969999999992,712.0969999999992,712.0969999999992,718.9089999999992,728.6019999999992,731.7369999999992,735.4689999999993,747.3109999999991,778.434999999999,811.8499999999992,846.9689999999989,883.984999999999,922.397999999999,962.052999999999,1002.9759999999991,1044.481999999999,1086.696999999999,1129.4869999999992,1171.7429999999993,1214.6309999999992,1257.4079999999988,1300.334999999999,1343.508999999999,1386.947999999999,1430.3459999999993,1430.345999999999,1430.345999999999,1430.3459999999993,1430.3459999999989
distributed,capacity_retired,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.097,0.0,0.0,0.0,6.811999999999998,9.693,3.134999999999991,3.7319999999999993,123.54199999999975,107.32399999999978,68.11499999999984,66.7189999999999,75.31599999999995,98.91299999999997,39.35499999999995
distributed,capital_outlay,397575014.52240264,0.0,0.0,0.0,9925993.218949607,12960867.85681122,4035915.269109277,4618759.381801906,19892806.661473334,54232982.07411789,54387251.74673727,56298412.27128747,58482477.31363191,59753694.014251575,60815846.19480516,100792900.08399631,61921290.6249657,62086514.6331048,66177681.944698475,71170838.74280095,73916982.62637062,62429911.50264243,62331514.135386944,240243250.88383487,217783675.68489814,160972999.084887,94201802.24604812,105463774.87939471,134651173.5473362,50926142.56631929
distributed,fixed_om,5739491.066182398,5739491.066182398,5739491.066182398,5739491.066182398,5933358.121240008,6186500.07156835,6265326.54166814,6355536.6858439585,6525077.022563938,6856633.790426045,7197874.8905267855,7556123.348671846,7932226.58698921,8321899.045105586,8721549.357553024,8447862.743910018,8858871.293676704,9273395.743120607,9717683.04437086,10088898.87429629,10452991.272346644,10833554.267470453,11208685.619954329,12368148.16831055,13436600.460796162,14260785.776914801,14633328.645884711,15053864.257897379,13805981.487663059,13413785.656320665
distributed,renewable_output,1166153.6553163596,1166153.6553163596,1166153.6553163596,1166153.6553163596,1166153.6553163596,1166153.65531636,1166153.6553163596,1166153.6553163598,1179098.7644544083,1224849.9720929905,1273135.1288065095,1323496.923261383,1376164.0111244023,1430108.06461874,1485438.4882067896,1542359.882441141,1599811.6002242598,1657970.4160724017,1718928.0099488932,1778909.985076297,1839809.115786689,1898144.7061510866,1956657.0710317392,2021857.316688477,2089306.2528560837,2120207.9665415576,2129038.4569272795,2128540.317100347,2149421.5131727294,2151365.1602794193
distributed,storage_load,5120.92196665336,6460.0222375812045,5552.986239362553,5754.433947121052,6513.857993121127,8099.69168774504,7792.9098639052545,9671.628201762887,11309.136176072136,11633.500865857946,13033.382767628824,13051.084758998093,8810.228856703076,11751.214617700542,10605.713810049003,12209.798751086622,7474.184760065492,15354.861093874431,13031.154126146765,9895.890758308384,14239.442796355848,18033.547817437146,12594.410149065861,12456.371110758782,12959.409039551432,30458.410432162378,26660.77938807231,29166.86932007655,23272.174079311688,24424.031126359685
distributed,total_output,1166153.6553163596,1166153.6553163596,1166153.6553163596,1166153.6553163596,1166153.6553163596,1166153.65531636,1166153.6553163596,1166153.6553163598,1179098.7644544083,1224849.9720929905,1273135.1288065095,1323496.923261383,1376164.0111244023,1430108.06461874,1485438.4882067896,1542359.882441141,1599811.6002242598,1657970.4160724017,1718928.0099488932,1778909.985076297,1839809.115786689,1898144.7061510866,1956657.0710317392,2021857.316688477,2089306.2528560837,2120207.9665415576,2129038.4569272795,2128540.317100347,2149421.5131727294,2151365.1602794193
system,co2_emissions,4707953.366505857,4717183.543439602,4631132.835266043,4029554.371587436,4080414.949368254,3056755.2128388686,2837090.1848793738,2867970.022593692,2652918.6438829238,2676872.239798051,2662076.1100067273,2666544.8743343228,2488537.2539258585,2509124.7946591447,2508798.168733133,2511811.608942813,2520450.043365731,2533117.61319021,2546246.889473921,2571784.23002855,1626031.064107471,1641847.733677852,1660663.4556570775,1682851.1169450663,1706530.3312365182,0.0,0.0,0.0,0.0,0.0
system,ev_load,24646.045539869974,29991.353282186534,36433.744463208015,44094.82351228489,53151.70992434042,63752.44387423616,76018.62979132263,90108.88214866546,106216.1818884948,124493.85633477398,145082.0149387112,168126.05430061693,193776.65816990344,222195.08459418765,253526.73017378015,287956.6451272571,321548.54694803705,360454.03361651994,406587.0531076993,460669.30127402546,523472.7018844192,597072.4609614881,672734.2081884132,751343.541039811,835166.0029059686,925893.48149959,1019690.1501470348,1114240.237541542,1200180.2026231305,1273399.2869648412
system,gross_load,7917644.353182677,7929797.931447253,7993671.978587646,8056386.051654426,8119299.772203479,8223605.44412977,8245552.990512165,8267952.7579018725,8289242.716144882,8351243.9644418685,8425359.900663236,8457215.481343465,8465635.634294039,8525741.46024113,8547706.160579044,8573907.74873717,8611264.063500471,8650770.458037678,8687254.117606873,8736513.339474728,8798578.155055901,8817074.70566737,8851881.091882702,8902569.155269384,8958181.757665664,9000426.747959584,9043715.78270344,9086945.490841722,9137979.702406544,9184843.15179096
