owner,variable,gen_tech,gen_vintage,gen_is_intermittent,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,amortized_cost,Airport_DSG,2013,0,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033,283791.85665925033
HECO,amortized_cost,CIP_CT,2009,0,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911,4008559.975311911
HECO,amortized_cost,IC_Schofield,2018,0,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,10604469.729631247,,
HECO,amortized_cost,Kahe_1,1963,0,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,2872396.971693493,,,,,,,,,,,,,,,
HECO,amortized_cost,Kahe_2,1964,0,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,2875035.518034378,,,,,,,,,,,,,,,
HECO,amortized_cost,Kahe_3,1970,0,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,3021170.273330721,,,,,,,,,,,
HECO,amortized_cost,Kahe_4,1972,0,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,2999873.5481505175,,,,,,,,,,,
HECO,amortized_cost,Kahe_5,1974,0,4835857.37227835,4835857.37227835,4835857.37227835,4835857.37227835,4835857.37227835,4835857.37227835,4835857.37227835,4835857.37227835,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Kahe_6,1981,0,4951510.656182638,4951510.656182638,4951510.656182638,4951510.656182638,4951510.656182638,4951510.656182638,4951510.656182638,4951510.656182638,,,,,,,,,,,,,,,,,,,,,,
HECO,amortized_cost,Waiau_10,1973,0,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437,1734116.1930713437
