load_zone,technology,period,capacity
Oahu,AES,2020,180.0
Oahu,AES,2021,180.0
Oahu,AES,2022,180.0
Oahu,AES,2023,0.0
Oahu,AES,2024,0.0
Oahu,AES,2025,0.0
Oahu,AES,2026,0.0
Oahu,AES,2027,0.0
Oahu,AES,2028,0.0
Oahu,AES,2029,0.0
Oahu,AES,2030,0.0
Oahu,AES,2031,0.0
Oahu,AES,2032,0.0
Oahu,AES,2033,0.0
Oahu,AES,2034,0.0
Oahu,AES,2035,0.0
Oahu,AES,2036,0.0
Oahu,AES,2037,0.0
Oahu,AES,2038,0.0
Oahu,AES,2039,0.0
Oahu,AES,2040,0.0
Oahu,AES,2041,0.0
Oahu,AES,2042,0.0
Oahu,AES,2043,0.0
Oahu,AES,2044,0.0
Oahu,AES,2045,0.0
Oahu,AES,2046,0.0
Oahu,AES,2047,0.0
Oahu,AES,2048,0.0
Oahu,AES,2049,0.0
Oahu,AES,2050,0.0
Oahu,Airport_DSG,2020,8.0
Oahu,Airport_DSG,2021,8.0
Oahu,Airport_DSG,2022,8.0
Oahu,Airport_DSG,2023,8.0
Oahu,Airport_DSG,2024,8.0
Oahu,Airport_DSG,2025,8.0
Oahu,Airport_DSG,2026,8.0
Oahu,Airport_DSG,2027,8.0
Oahu,Airport_DSG,2028,8.0
Oahu,Airport_DSG,2029,8.0
Oahu,Airport_DSG,2030,8.0
Oahu,Airport_DSG,2031,8.0
Oahu,Airport_DSG,2032,8.0
Oahu,Airport_DSG,2033,8.0
Oahu,Airport_DSG,2034,8.0
Oahu,Airport_DSG,2035,8.0
Oahu,Airport_DSG,2036,8.0
Oahu,Airport_DSG,2037,8.0
Oahu,Airport_DSG,2038,8.0
Oahu,Airport_DSG,2039,8.0
Oahu,Airport_DSG,2040,8.0
Oahu,Airport_DSG,2041,8.0
Oahu,Airport_DSG,2042,8.0
Oahu,Airport_DSG,2043,8.0
Oahu,Airport_DSG,2044,8.0
Oahu,Airport_DSG,2045,8.0
Oahu,Airport_DSG,2046,8.0
Oahu,Airport_DSG,2047,8.0
Oahu,Airport_DSG,2048,8.0
Oahu,Airport_DSG,2049,8.0
Oahu,Airport_DSG,2050,8.0
Oahu,Battery_Bulk,2020,0.0
Oahu,Battery_Bulk,2021,12.5
Oahu,Battery_Bulk,2022,339.5
Oahu,Battery_Bulk,2023,339.5
Oahu,Battery_Bulk,2024,339.5
Oahu,Battery_Bulk,2025,339.5
Oahu,Battery_Bulk,2026,339.5
Oahu,Battery_Bulk,2027,339.5
Oahu,Battery_Bulk,2028,339.5
Oahu,Battery_Bulk,2029,339.5
Oahu,Battery_Bulk,2030,504.5
Oahu,Battery_Bulk,2031,504.5
Oahu,Battery_Bulk,2032,504.5
Oahu,Battery_Bulk,2033,504.5
Oahu,Battery_Bulk,2034,504.5
Oahu,Battery_Bulk,2035,672.5
Oahu,Battery_Bulk,2036,672.5
Oahu,Battery_Bulk,2037,672.5
Oahu,Battery_Bulk,2038,672.5
Oahu,Battery_Bulk,2039,672.5
Oahu,Battery_Bulk,2040,1092.5
Oahu,Battery_Bulk,2041,1092.5
Oahu,Battery_Bulk,2042,1092.5
Oahu,Battery_Bulk,2043,1092.5
Oahu,Battery_Bulk,2044,1092.5
Oahu,Battery_Bulk,2045,2617.5
Oahu,Battery_Bulk,2046,2617.5
Oahu,Battery_Bulk,2047,2617.5
Oahu,Battery_Bulk,2048,2617.5
Oahu,Battery_Bulk,2049,2617.5
Oahu,Battery_Bulk,2050,2617.5
Oahu,Battery_Bulk_MWh,2020,0.0
Oahu,Battery_Bulk_MWh,2021,50.0
Oahu,Battery_Bulk_MWh,2022,1758.0
Oahu,Battery_Bulk_MWh,2023,1758.0
Oahu,Battery_Bulk_MWh,2024,1758.0
Oahu,Battery_Bulk_MWh,2025,1758.0
Oahu,Battery_Bulk_MWh,2026,1758.0
Oahu,Battery_Bulk_MWh,2027,1758.0
Oahu,Battery_Bulk_MWh,2028,1758.0
Oahu,Battery_Bulk_MWh,2029,1758.0
Oahu,Battery_Bulk_MWh,2030,2418.0
Oahu,Battery_Bulk_MWh,2031,2418.0
Oahu,Battery_Bulk_MWh,2032,2418.0
Oahu,Battery_Bulk_MWh,2033,2418.0
Oahu,Battery_Bulk_MWh,2034,2418.0
Oahu,Battery_Bulk_MWh,2035,3090.0
Oahu,Battery_Bulk_MWh,2036,3090.0
Oahu,Battery_Bulk_MWh,2037,3090.0
Oahu,Battery_Bulk_MWh,2038,3090.0
Oahu,Battery_Bulk_MWh,2039,3090.0
Oahu,Battery_Bulk_MWh,2040,4770.0
Oahu,Battery_Bulk_MWh,2041,4770.0
