period,variable,value
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0
2020,Pumped_Hydro_Net_Load,0.0
2020,co2_emissions,4707953.366505857
2020,ev_load,24646.045539869978
2020,gross_load,7917644.353182678
2021,Pumped_Hydro_Fixed_Cost_Annual,0.0
2021,Pumped_Hydro_Net_Load,0.0
2021,co2_emissions,4717183.543439601
2021,ev_load,29991.353282186534
2021,gross_load,7929797.931447253
2022,Pumped_Hydro_Fixed_Cost_Annual,0.0
2022,Pumped_Hydro_Net_Load,0.0
2022,co2_emissions,4631132.835266043
2022,ev_load,36433.744463208015
2022,gross_load,7993671.978587646
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0
2023,Pumped_Hydro_Net_Load,0.0
2023,co2_emissions,4029554.3715874357
2023,ev_load,44094.823512284886
2023,gross_load,8056386.051654426
2024,Pumped_Hydro_Fixed_Cost_Annual,0.0
2024,Pumped_Hydro_Net_Load,0.0
2024,co2_emissions,4080414.949368254
2024,ev_load,53151.709924340415
2024,gross_load,8119299.772203479
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0
2025,Pumped_Hydro_Net_Load,0.0
2025,co2_emissions,3056755.212838869
2025,ev_load,63752.44387423616
2025,gross_load,8223605.44412977
2026,Pumped_Hydro_Fixed_Cost_Annual,0.0
2026,Pumped_Hydro_Net_Load,0.0
2026,co2_emissions,2837090.184879374
2026,ev_load,76018.62979132264
2026,gross_load,8245552.990512165
2027,Pumped_Hydro_Fixed_Cost_Annual,0.0
2027,Pumped_Hydro_Net_Load,0.0
2027,co2_emissions,2867970.022593692
2027,ev_load,90108.88214866546
2027,gross_load,8267952.7579018725
2028,Pumped_Hydro_Fixed_Cost_Annual,0.0
2028,Pumped_Hydro_Net_Load,0.0
2028,co2_emissions,2652918.6438829233
2028,ev_load,106216.1818884948
2028,gross_load,8289242.716144882
2029,Pumped_Hydro_Fixed_Cost_Annual,0.0
2029,Pumped_Hydro_Net_Load,0.0
2029,co2_emissions,2676872.239798051
2029,ev_load,124493.85633477398
2029,gross_load,8351243.9644418685
2030,Pumped_Hydro_Fixed_Cost_Annual,0.0
2030,Pumped_Hydro_Net_Load,0.0
2030,co2_emissions,2662076.1100067273
2030,ev_load,145082.0149387112
2030,gross_load,8425359.900663236
2031,Pumped_Hydro_Fixed_Cost_Annual,0.0
2031,Pumped_Hydro_Net_Load,0.0
2031,co2_emissions,2666544.8743343228
2031,ev_load,168126.05430061693
2031,gross_load,8457215.481343465
2032,Pumped_Hydro_Fixed_Cost_Annual,0.0
2032,Pumped_Hydro_Net_Load,0.0
2032,co2_emissions,2488537.2539258585
2032,ev_load,193776.65816990344
2032,gross_load,8465635.634294039
2033,Pumped_Hydro_Fixed_Cost_Annual,0.0
2033,Pumped_Hydro_Net_Load,0.0
2033,co2_emissions,2509124.7946591447
2033,ev_load,222195.08459418765
2033,gross_load,8525741.46024113
2034,Pumped_Hydro_Fixed_Cost_Annual,0.0
2034,Pumped_Hydro_Net_Load,0.0
2034,co2_emissions,2508798.1687331335
2034,ev_load,253526.73017378018
2034,gross_load,8547706.160579044
2035,Pumped_Hydro_Fixed_Cost_Annual,0.0
2035,Pumped_Hydro_Net_Load,0.0
2035,co2_emissions,2511811.6089428132
2035,ev_load,287956.6451272571
2035,gross_load,8573907.74873717
2036,Pumped_Hydro_Fixed_Cost_Annual,0.0
2036,Pumped_Hydro_Net_Load,0.0
2036,co2_emissions,2520450.043365731
2036,ev_load,321548.54694803705
2036,gross_load,8611264.063500471
2037,Pumped_Hydro_Fixed_Cost_Annual,0.0
2037,Pumped_Hydro_Net_Load,0.0
2037,co2_emissions,2533117.61319021
2037,ev_load,360454.0336165199
2037,gross_load,8650770.458037678
2038,Pumped_Hydro_Fixed_Cost_Annual,0.0
2038,Pumped_Hydro_Net_Load,0.0
2038,co2_emissions,2546246.8894739207
2038,ev_load,406587.05310769926
2038,gross_load,8687254.117606873
2039,Pumped_Hydro_Fixed_Cost_Annual,0.0
2039,Pumped_Hydro_Net_Load,0.0
2039,co2_emissions,2571784.23002855
2039,ev_load,460669.3012740255
2039,gross_load,8736513.339474728
2040,Pumped_Hydro_Fixed_Cost_Annual,0.0
2040,Pumped_Hydro_Net_Load,0.0
2040,co2_emissions,1626031.0641074707
2040,ev_load,523472.7018844192
2040,gross_load,8798578.155055901
2041,Pumped_Hydro_Fixed_Cost_Annual,0.0
2041,Pumped_Hydro_Net_Load,0.0
2041,co2_emissions,1641847.733677852
2041,ev_load,597072.4609614881
2041,gross_load,8817074.70566737
2042,Pumped_Hydro_Fixed_Cost_Annual,0.0
2042,Pumped_Hydro_Net_Load,0.0
2042,co2_emissions,1660663.4556570775
2042,ev_load,672734.2081884132
2042,gross_load,8851881.091882702
2043,Pumped_Hydro_Fixed_Cost_Annual,0.0
2043,Pumped_Hydro_Net_Load,-1.1908522671710843e-08
2043,co2_emissions,1682851.1169450663
2043,ev_load,751343.541039811
2043,gross_load,8902569.155269384
2044,Pumped_Hydro_Fixed_Cost_Annual,0.0
2044,Pumped_Hydro_Net_Load,0.0
2044,co2_emissions,1706530.3312365182
2044,ev_load,835166.0029059686
2044,gross_load,8958181.757665664
2045,Pumped_Hydro_Fixed_Cost_Annual,0.0
2045,Pumped_Hydro_Net_Load,0.0
2045,co2_emissions,0.0
2045,ev_load,925893.48149959
2045,gross_load,9000426.747959584
2046,Pumped_Hydro_Fixed_Cost_Annual,0.0
2046,Pumped_Hydro_Net_Load,0.0
2046,co2_emissions,0.0
2046,ev_load,1019690.1501470348
2046,gross_load,9043715.78270344
2047,Pumped_Hydro_Fixed_Cost_Annual,0.0
2047,Pumped_Hydro_Net_Load,0.0
2047,co2_emissions,0.0
2047,ev_load,1114240.237541542
2047,gross_load,9086945.490841722
2048,Pumped_Hydro_Fixed_Cost_Annual,0.0
2048,Pumped_Hydro_Net_Load,0.0
2048,co2_emissions,0.0
2048,ev_load,1200180.2026231305
2048,gross_load,9137979.702406544
2049,Pumped_Hydro_Fixed_Cost_Annual,0.0
