generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_Bulk,2020,Oahu,0,0,0,0
Oahu_Battery_Bulk,2021,Oahu,12.5,50,12.5,50
Oahu_Battery_Bulk,2022,Oahu,327,1708,339.5,1758
Oahu_Battery_Bulk,2023,Oahu,0,0,339.5,1758
Oahu_Battery_Bulk,2024,Oahu,0,0,339.5,1758
Oahu_Battery_Bulk,2025,Oahu,0,0,339.5,1758
Oahu_Battery_Bulk,2026,Oahu,0,0,339.5,1758
Oahu_Battery_Bulk,2027,Oahu,0,0,339.5,1758
Oahu_Battery_Bulk,2028,Oahu,0,0,339.5,1758
Oahu_Battery_Bulk,2029,Oahu,0,0,339.5,1758
Oahu_Battery_Bulk,2030,Oahu,165,660,504.5,2418
Oahu_Battery_Bulk,2031,Oahu,0,0,504.5,2418
Oahu_Battery_Bulk,2032,Oahu,0,0,504.5,2418
Oahu_Battery_Bulk,2033,Oahu,0,0,504.5,2418
Oahu_Battery_Bulk,2034,Oahu,0,0,504.5,2418
Oahu_Battery_Bulk,2035,Oahu,168,672,672.5,3090
Oahu_Battery_Bulk,2036,Oahu,12.5,50,672.5,3090
Oahu_Battery_Bulk,2037,Oahu,327,1708,672.5,3090
Oahu_Battery_Bulk,2038,Oahu,0,0,672.5,3090
Oahu_Battery_Bulk,2039,Oahu,0,0,672.5,3090
Oahu_Battery_Bulk,2040,Oahu,420,1680,1092.5,4770
Oahu_Battery_Bulk,2041,Oahu,0,0,1092.5,4770
Oahu_Battery_Bulk,2042,Oahu,0,0,1092.5,4770
Oahu_Battery_Bulk,2043,Oahu,0,0,1092.5,4770
Oahu_Battery_Bulk,2044,Oahu,0,0,1092.5,4770
Oahu_Battery_Bulk,2045,Oahu,1690,6760,2617.5,10870
Oahu_Battery_Bulk,2046,Oahu,0,0,2617.5,10870
Oahu_Battery_Bulk,2047,Oahu,0,0,2617.5,10870
Oahu_Battery_Bulk,2048,Oahu,0,0,2617.5,10870
Oahu_Battery_Bulk,2049,Oahu,0,0,2617.5,10870
Oahu_Battery_Bulk,2050,Oahu,168,672,2617.5,10870
Oahu_Battery_Conting,2020,Oahu,0,0,0,0
Oahu_Battery_Conting,2021,Oahu,0,0,0,0
Oahu_Battery_Conting,2022,Oahu,0,0,0,0
Oahu_Battery_Conting,2023,Oahu,0,0,0,0
Oahu_Battery_Conting,2024,Oahu,0,0,0,0
Oahu_Battery_Conting,2025,Oahu,0,0,0,0
Oahu_Battery_Conting,2026,Oahu,0,0,0,0
Oahu_Battery_Conting,2027,Oahu,0,0,0,0
Oahu_Battery_Conting,2028,Oahu,0,0,0,0
Oahu_Battery_Conting,2029,Oahu,0,0,0,0
Oahu_Battery_Conting,2030,Oahu,0,0,0,0
Oahu_Battery_Conting,2031,Oahu,0,0,0,0
Oahu_Battery_Conting,2032,Oahu,0,0,0,0
Oahu_Battery_Conting,2033,Oahu,0,0,0,0
Oahu_Battery_Conting,2034,Oahu,0,0,0,0
Oahu_Battery_Conting,2035,Oahu,0,0,0,0
Oahu_Battery_Conting,2036,Oahu,0,0,0,0
Oahu_Battery_Conting,2037,Oahu,0,0,0,0
Oahu_Battery_Conting,2038,Oahu,0,0,0,0
Oahu_Battery_Conting,2039,Oahu,0,0,0,0
Oahu_Battery_Conting,2040,Oahu,0,0,0,0
Oahu_Battery_Conting,2041,Oahu,0,0,0,0
Oahu_Battery_Conting,2042,Oahu,0,0,0,0
Oahu_Battery_Conting,2043,Oahu,0,0,0,0
Oahu_Battery_Conting,2044,Oahu,0,0,0,0
Oahu_Battery_Conting,2045,Oahu,0,0,0,0
Oahu_Battery_Conting,2046,Oahu,0,0,0,0
Oahu_Battery_Conting,2047,Oahu,0,0,0,0
Oahu_Battery_Conting,2048,Oahu,0,0,0,0
Oahu_Battery_Conting,2049,Oahu,0,0,0,0
Oahu_Battery_Conting,2050,Oahu,0,0,0,0
Oahu_Battery_Reg,2020,Oahu,0,0,0,0
