load_zone,technology,period,capacity
Oahu,AES,2020,180.0
Oahu,AES,2023,0.0
Oahu,AES,2025,0.0
Oahu,AES,2030,0.0
Oahu,AES,2035,0.0
Oahu,AES,2040,0.0
Oahu,AES,2045,0.0
Oahu,AES,2050,0.0
Oahu,Airport_DSG,2020,8.0
Oahu,Airport_DSG,2023,8.0
Oahu,Airport_DSG,2025,8.0
Oahu,Airport_DSG,2030,8.0
Oahu,Airport_DSG,2035,8.0
Oahu,Airport_DSG,2040,8.0
Oahu,Airport_DSG,2045,8.0
Oahu,Airport_DSG,2050,8.0
Oahu,Battery_Bulk,2020,0.0
Oahu,Battery_Bulk,2023,339.5
Oahu,Battery_Bulk,2025,339.5
Oahu,Battery_Bulk,2030,504.5
Oahu,Battery_Bulk,2035,672.5
Oahu,Battery_Bulk,2040,1092.5
Oahu,Battery_Bulk,2045,2617.5
Oahu,Battery_Bulk,2050,2617.5
Oahu,Battery_Bulk_MWh,2020,0.0
Oahu,Battery_Bulk_MWh,2023,1758.0
Oahu,Battery_Bulk_MWh,2025,1758.0
Oahu,Battery_Bulk_MWh,2030,2418.0
Oahu,Battery_Bulk_MWh,2035,3090.0
Oahu,Battery_Bulk_MWh,2040,4770.0
Oahu,Battery_Bulk_MWh,2045,10870.0
Oahu,Battery_Bulk_MWh,2050,10870.0
Oahu,CC_152,2020,0.0
Oahu,CC_152,2023,0.0
Oahu,CC_152,2025,0.0
Oahu,CC_152,2030,301.172
Oahu,CC_152,2035,602.344
Oahu,CC_152,2040,602.344
Oahu,CC_152,2045,602.344
Oahu,CC_152,2050,602.344
Oahu,CIP_CT,2020,113.0
Oahu,CIP_CT,2023,113.0
Oahu,CIP_CT,2025,113.0
Oahu,CIP_CT,2030,113.0
Oahu,CIP_CT,2035,113.0
Oahu,CIP_CT,2040,113.0
Oahu,CIP_CT,2045,113.0
Oahu,CIP_CT,2050,113.0
Oahu,CentralTrackingPV,2020,185.7
Oahu,CentralTrackingPV,2023,333.7
Oahu,CentralTrackingPV,2025,971.2
Oahu,CentralTrackingPV,2030,971.2
Oahu,CentralTrackingPV,2035,971.2
Oahu,CentralTrackingPV,2040,1251.2
Oahu,CentralTrackingPV,2045,2431.2
Oahu,CentralTrackingPV,2050,2431.2000000000003
Oahu,DistBattery,2020,38.097
Oahu,DistBattery,2023,38.097
Oahu,DistBattery,2025,54.602000000000004
Oahu,DistBattery,2030,77.45
Oahu,DistBattery,2035,116.476
Oahu,DistBattery,2040,163.531
Oahu,DistBattery,2045,213.046
Oahu,DistBattery,2050,213.046
Oahu,DistBattery_MWh,2020,152.388
Oahu,DistBattery_MWh,2023,152.388
Oahu,DistBattery_MWh,2025,218.40800000000002
Oahu,DistBattery_MWh,2030,309.8
Oahu,DistBattery_MWh,2035,465.904
Oahu,DistBattery_MWh,2040,654.124
Oahu,DistBattery_MWh,2045,852.184
Oahu,DistBattery_MWh,2050,852.184
Oahu,FlatDistPV,2020,370.7
Oahu,FlatDistPV,2023,370.7
Oahu,FlatDistPV,2025,370.7
Oahu,FlatDistPV,2030,431.1
Oahu,FlatDistPV,2035,583.1999999999999
Oahu,FlatDistPV,2040,650.4773539656883
Oahu,FlatDistPV,2045,868.2896409805311
Oahu,FlatDistPV,2050,857.5945756739579
Oahu,H-Power,2020,73.0
Oahu,H-Power,2023,73.0
Oahu,H-Power,2025,73.0
Oahu,H-Power,2030,73.0
Oahu,H-Power,2035,73.0
Oahu,H-Power,2040,73.0
Oahu,H-Power,2045,73.0
Oahu,H-Power,2050,73.0
Oahu,Hawaii_Cogen,2020,12.2
Oahu,Hawaii_Cogen,2023,12.2
Oahu,Hawaii_Cogen,2025,12.2
Oahu,Hawaii_Cogen,2030,12.2
Oahu,Hawaii_Cogen,2035,12.2
Oahu,Hawaii_Cogen,2040,12.2
Oahu,Hawaii_Cogen,2045,0.0
Oahu,Hawaii_Cogen,2050,0.0
Oahu,IC_Barge,2020,0.0
Oahu,IC_Barge,2023,0.0
Oahu,IC_Barge,2025,0.0
Oahu,IC_Barge,2030,0.0
Oahu,IC_Barge,2035,0.0
Oahu,IC_Barge,2040,0.0
Oahu,IC_Barge,2045,67.145568
Oahu,IC_Barge,2050,67.145568
Oahu,IC_Schofield,2020,48.84
Oahu,IC_Schofield,2023,48.84
Oahu,IC_Schofield,2025,48.84
Oahu,IC_Schofield,2030,48.84
Oahu,IC_Schofield,2035,48.84
Oahu,IC_Schofield,2040,48.84
Oahu,IC_Schofield,2045,48.84
Oahu,IC_Schofield,2050,0.0
Oahu,Kahe_1,2020,82.1
Oahu,Kahe_1,2023,82.1
Oahu,Kahe_1,2025,82.1
Oahu,Kahe_1,2030,82.1
Oahu,Kahe_1,2035,0.0
Oahu,Kahe_1,2040,0.0
Oahu,Kahe_1,2045,0.0
Oahu,Kahe_1,2050,0.0
Oahu,Kahe_2,2020,82.1
Oahu,Kahe_2,2023,82.1
Oahu,Kahe_2,2025,82.1
Oahu,Kahe_2,2030,82.1
Oahu,Kahe_2,2035,0.0
Oahu,Kahe_2,2040,0.0
Oahu,Kahe_2,2045,0.0
Oahu,Kahe_2,2050,0.0
Oahu,Kahe_3,2020,86.1
Oahu,Kahe_3,2023,86.1
Oahu,Kahe_3,2025,86.1
Oahu,Kahe_3,2030,86.1
Oahu,Kahe_3,2035,86.1
Oahu,Kahe_3,2040,0.0
Oahu,Kahe_3,2045,0.0
Oahu,Kahe_3,2050,0.0
Oahu,Kahe_4,2020,85.3
Oahu,Kahe_4,2023,85.3
Oahu,Kahe_4,2025,85.3
Oahu,Kahe_4,2030,85.3
Oahu,Kahe_4,2035,85.3
Oahu,Kahe_4,2040,0.0
Oahu,Kahe_4,2045,0.0
Oahu,Kahe_4,2050,0.0
Oahu,Kahe_5,2020,134.3
Oahu,Kahe_5,2023,134.3
Oahu,Kahe_5,2025,134.3
Oahu,Kahe_5,2030,0.0
Oahu,Kahe_5,2035,0.0
Oahu,Kahe_5,2040,0.0
Oahu,Kahe_5,2045,0.0
Oahu,Kahe_5,2050,0.0
Oahu,Kahe_6,2020,134.4
