PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,FuelCostsPerPeriod,1716188394.187386,606724706.5305245,annual
2020,GenVariableOMCostsInTP,313549325.7609814,110849207.05646239,timepoint
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2020,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2020,StorageEnergyFixedCost,17651137.229276367,6240212.957758407,annual
2020,TotalGenCapitalCostsSubsidy,-69197392.00083539,-24463379.135169946,annual
2020,TotalGenFixedCosts,1383414794.329351,489079134.86787903,annual
2020,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2023,FuelCostsPerPeriod,1117773818.3435323,638328181.5453078,annual
2023,GenVariableOMCostsInTP,194700975.8272444,111188075.62435241,timepoint
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2023,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2023,StorageEnergyFixedCost,113560548.59218587,64851132.92916573,annual
2023,TotalGenCapitalCostsSubsidy,-46714351.82233201,-26677210.327762783,annual
2023,TotalGenFixedCosts,855183193.9297317,488370298.275767,annual
2023,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2025,FuelCostsPerPeriod,2075873584.0540354,525471679.5534381,annual
2025,GenVariableOMCostsInTP,388033944.1448276,98224116.30448301,timepoint
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2025,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2025,StorageEnergyFixedCost,263566285.02901408,66717270.035963394,annual
2025,TotalGenCapitalCostsSubsidy,-140131568.27165228,-35471895.35229698,annual
2025,TotalGenFixedCosts,2313645920.6665416,585659655.3679937,annual
2025,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2030,FuelCostsPerPeriod,1696143352.4650922,497733750.1985278,annual
2030,GenVariableOMCostsInTP,301328945.7638972,88425065.0161482,timepoint
2030,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2030,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2030,StorageEnergyFixedCost,286263418.119338,84004081.63502777,annual
2030,TotalGenCapitalCostsSubsidy,-120878721.76065645,-35471895.35229698,annual
2030,TotalGenFixedCosts,2146796116.1483927,629977932.1418912,annual
2030,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2035,FuelCostsPerPeriod,1498223375.051397,509679572.4509171,annual
2035,GenVariableOMCostsInTP,265828830.23494905,90432125.6732684,timepoint
2035,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2035,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2035,StorageEnergyFixedCost,290754564.92580795,98911594.09687789,annual
2035,TotalGenCapitalCostsSubsidy,-104271047.23587145,-35471895.35229698,annual
2035,TotalGenFixedCosts,2017004290.6450248,686163292.8750393,annual
2035,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2040,FuelCostsPerPeriod,1548492539.2869008,610683097.7814305,annual
2040,GenVariableOMCostsInTP,223588822.23201436,88177315.11501326,timepoint
2040,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2040,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2040,StorageEnergyFixedCost,285926237.26457757,112761486.33569178,annual
2040,TotalGenCapitalCostsSubsidy,-96781756.93064666,-38168077.42474133,annual
2040,TotalGenFixedCosts,1868876874.7253087,737033915.4200305,annual
2040,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2045,FuelCostsPerPeriod,850582811.1240902,388874538.14832944,annual
2045,GenVariableOMCostsInTP,145818310.3743466,66666087.48589111,timepoint
2045,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2045,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2045,StorageEnergyFixedCost,497057813.25246096,227247864.68012708,annual
2045,TotalGenCapitalCostsSubsidy,-107518885.58014788,-49156127.33455919,annual
2045,TotalGenFixedCosts,1774467185.3708057,811261523.4470904,annual
2045,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2050,FuelCostsPerPeriod,994214131.1797817,526937323.7849783,annual
2050,GenVariableOMCostsInTP,131148484.80730273,69509202.73161809,timepoint
2050,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2050,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2050,StorageEnergyFixedCost,420786220.3835733,223018319.59620535,annual
2050,TotalGenCapitalCostsSubsidy,-49442692.3189379,-26204817.608405218,annual
2050,TotalGenFixedCosts,1310262124.2004561,694443978.9481939,annual
2050,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
