owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,amortized_cost,53049671.52312381,53049671.52312381,53049671.52312381,49795502.315563984,49795502.315563984,49795502.315563984,49795502.315563984,49795502.315563984,49795502.315563984,49795502.315563984,36205138.49585516,36205138.49585516,36205138.49585516,36205138.49585516,36205138.49585516,24490353.25177571,24490353.25177571,24490353.25177571,24490353.25177571,24490353.25177571,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473
HECO,capacity_in_place,1247.14,1247.14,1247.14,1153.94,1153.94,1153.94,1153.94,1153.94,1153.94,1153.94,777.24,777.24,777.24,777.24,777.24,444.03999999999996,444.03999999999996,444.03999999999996,444.03999999999996,444.03999999999996,272.64,272.64,272.64,272.64,272.64,272.64,272.64,272.64,272.64,272.64
HECO,capacity_retired,0.0,0.0,0.0,93.2,0.0,0.0,0.0,0.0,0.0,0.0,376.70000000000005,0.0,0.0,0.0,0.0,333.2,0.0,0.0,0.0,0.0,171.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECO,fixed_om,15928523.03764372,15928523.03764372,15928523.03764372,14933988.245362315,14933988.245362315,14933988.245362315,14933988.245362315,14933988.245362315,14933988.245362315,14933988.245362315,10914232.276988868,10914232.276988868,10914232.276988868,10914232.276988868,10914232.276988868,7358663.684841185,7358663.684841185,7358663.684841185,7358663.684841185,7358663.684841185,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016
HECO,fuel_cost,376921275.6344466,376921275.6344466,376921275.6344466,376350586.52617174,376350586.52617174,318892591.62413085,318892591.62413085,318892591.62413085,318892591.62413085,318892591.62413085,44968461.40561267,44968461.40561267,44968461.40561267,44968461.40561267,44968461.40561267,39242494.96752676,39242494.96752676,39242494.96752676,39242494.96752676,39242494.96752676,17508348.239705198,17508348.239705198,17508348.239705198,17508348.239705198,17508348.239705198,25931974.943679623,25931974.943679623,25931974.943679623,25931974.943679623,25931974.943679623
HECO,non_renewable_output,2962319.099779562,2962319.099779562,2962319.099779562,3066013.1155577274,3066013.1155577274,2414349.1584521662,2414349.1584521662,2414349.1584521662,2414349.1584521662,2414349.1584521662,297338.81274269294,297338.81274269294,297338.81274269294,297338.81274269294,297338.81274269294,222627.0887858107,222627.0887858107,222627.0887858107,222627.0887858107,222627.0887858107,57791.722954509096,57791.722954509096,57791.722954509096,57791.722954509096,57791.722954509096,-5.136751180304217e-10,-5.136751180304217e-10,-5.136751180304217e-10,-5.136751180304217e-10,-5.136751180304217e-10
HECO,renewable_output,1538.2013755158796,1538.2013755158796,1538.2013755158796,780.6030270259596,780.6030270259596,0.0,0.0,0.0,0.0,0.0,534.4905731874691,534.4905731874691,534.4905731874691,534.4905731874691,534.4905731874691,1700.4223328163323,1700.4223328163323,1700.4223328163323,1700.4223328163323,1700.4223328163323,7911.017289830841,7911.017289830841,7911.017289830841,7911.017289830841,7911.017289830841,73345.05804676811,73345.05804676811,73345.05804676811,73345.05804676811,73345.05804676811
HECO,total_output,2963857.3011550778,2963857.3011550778,2963857.3011550778,3066793.7185847536,3066793.7185847536,2414349.1584521662,2414349.1584521662,2414349.1584521662,2414349.1584521662,2414349.1584521662,297873.3033158804,297873.3033158804,297873.3033158804,297873.3033158804,297873.3033158804,224327.51111862704,224327.51111862704,224327.51111862704,224327.51111862704,224327.51111862704,65702.74024433993,65702.74024433993,65702.74024433993,65702.74024433993,65702.74024433993,73345.0580467676,73345.0580467676,73345.0580467676,73345.0580467676,73345.0580467676
HECO,variable_om,31047424.40109109,31047424.40109109,31047424.40109109,32131145.13253033,32131145.13253033,25277354.52615449,25277354.52615449,25277354.52615449,25277354.52615449,25277354.52615449,3118172.583762838,3118172.583762838,3118172.583762838,3118172.583762838,3118172.583762838,2245542.3254040633,2245542.3254040633,2245542.3254040633,2245542.3254040633,2245542.3254040633,479331.6108755511,479331.6108755511,479331.6108755511,479331.6108755511,479331.6108755511,899381.1801816429,899381.1801816429,899381.1801816429,899381.1801816429,899381.1801816429
PPA,amortized_cost,127764908.59437114,127764908.59437114,127764908.59437114,199458392.99933326,199458392.99933326,267419617.21907723,267419617.21907723,267419617.21907723,267419617.21907723,267419617.21907723,435186852.98538876,435186852.98538876,435186852.98538876,435186852.98538876,435186852.98538876,461545507.9425653,461545507.9425653,461545507.9425653,461545507.9425653,461545507.9425653,513239023.24240535,513239023.24240535,513239023.24240535,513239023.24240535,513239023.24240535,634096068.8907024,634096068.8907024,634096068.8907024,634096068.8907024,634096068.8907024
PPA,capacity_added,134.6,0.0,0.0,715.5,0.0,499.00000000000006,0.0,0.0,0.0,0.0,1332.1019869008699,0.0,0.0,0.0,0.0,136.06523032061878,0.0,0.0,0.0,0.0,1166.152507565149,0.0,0.0,0.0,0.0,1632.2121669136718,0.0,0.0,0.0,0.0
PPA,capacity_in_place,777.9,777.9,777.9,1313.4,1313.4,1812.4,1812.4,1812.4,1812.4,1812.4,3144.5019869008697,3144.5019869008697,3144.5019869008697,3144.5019869008697,3144.5019869008697,3280.5672172214886,3280.5672172214886,3280.5672172214886,3280.5672172214886,3280.5672172214886,3848.219724786638,3848.219724786638,3848.219724786638,3848.219724786638,3848.219724786638,5337.2318917003095,5337.2318917003095,5337.2318917003095,5337.2318917003095,5337.2318917003095
