PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,FuelCostsPerPeriod,1715820203.1952617,606594539.8353059,annual
2020,GenVariableOMCostsInTP,313299203.5775311,110760781.27007167,timepoint
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2020,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2020,StorageEnergyFixedCost,17651137.229276367,6240212.957758407,annual
2020,TotalGenCapitalCostsSubsidy,-69197392.00083537,-24463379.135169942,annual
2020,TotalGenFixedCosts,1383414794.329351,489079134.86787903,annual
2020,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2023,FuelCostsPerPeriod,1025809093.7089175,585809796.8068607,annual
2023,GenVariableOMCostsInTP,187446609.3289399,107045317.49284756,timepoint
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2023,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2023,StorageEnergyFixedCost,106331495.30851018,60722830.43975759,annual
2023,TotalGenCapitalCostsSubsidy,-49783687.2536802,-28430018.697660502,annual
2023,TotalGenFixedCosts,925585688.6154532,528575119.3867032,annual
2023,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2025,FuelCostsPerPeriod,2152003890.108768,544742756.6049472,annual
2025,GenVariableOMCostsInTP,395806191.0899139,100191526.88647164,timepoint
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2025,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2025,StorageEnergyFixedCost,334588472.55340815,84695314.77369687,annual
2025,TotalGenCapitalCostsSubsidy,-130173847.39890005,-32951269.649593666,annual
2025,TotalGenFixedCosts,2353917769.312093,595853780.9202695,annual
2025,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2030,FuelCostsPerPeriod,787066578.4573182,230964911.77006647,annual
2030,GenVariableOMCostsInTP,264495131.2677714,77616171.65425831,timepoint
2030,Pumped_Hydro_Fixed_Cost_Annual,121629291.649538,35692150.30010912,annual
2030,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2030,StorageEnergyFixedCost,411104328.62598693,120638682.40409927,annual
2030,TotalGenCapitalCostsSubsidy,-153138882.19639608,-44938648.62662986,annual
2030,TotalGenFixedCosts,2607757752.5809956,765247255.7316682,annual
2030,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2035,FuelCostsPerPeriod,659222438.6743104,224260424.90629756,annual
2035,GenVariableOMCostsInTP,225283158.3123954,76638921.61949146,timepoint
2035,Pumped_Hydro_Fixed_Cost_Annual,104918495.41531491,35692150.30010912,annual
2035,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2035,StorageEnergyFixedCost,398454395.37429214,135549924.8358684,annual
2035,TotalGenCapitalCostsSubsidy,-136138110.51014203,-46312729.539882235,annual
2035,TotalGenFixedCosts,2312201172.4114876,786586115.6616704,annual
2035,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2040,FuelCostsPerPeriod,484370976.55524856,191022662.96639308,annual
2040,GenVariableOMCostsInTP,189496964.33121818,74732418.95712148,timepoint
2040,Pumped_Hydro_Fixed_Cost_Annual,90503615.78962027,35692150.30010912,annual
2040,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2040,StorageEnergyFixedCost,281428187.00818104,110987578.36076684,annual
2040,TotalGenCapitalCostsSubsidy,-126011555.30046494,-49695510.30745153,annual
2040,TotalGenFixedCosts,2266177237.498688,893718310.1668499,annual
2040,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2045,FuelCostsPerPeriod,157775356.0603586,72132681.16490215,annual
2045,GenVariableOMCostsInTP,130798806.76944381,59799380.974558085,timepoint
2045,Pumped_Hydro_Fixed_Cost_Annual,78069213.99865575,35692150.30010912,annual
2045,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2045,StorageEnergyFixedCost,354998746.4331201,162300450.6521536,annual
2045,TotalGenCapitalCostsSubsidy,-133592588.56214824,-61076658.848172024,annual
2045,TotalGenFixedCosts,2019779731.9485111,923414981.0584959,annual
2045,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2050,FuelCostsPerPeriod,83553449.95049003,44283650.7037657,annual
2050,GenVariableOMCostsInTP,111345788.19081351,59013697.15432734,timepoint
2050,Pumped_Hydro_Fixed_Cost_Annual,67343189.78520758,35692150.30010912,annual
2050,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2050,StorageEnergyFixedCost,277123678.1813962,146876618.18392396,annual
2050,TotalGenCapitalCostsSubsidy,-71947973.87223005,-38132703.62491849,annual
2050,TotalGenFixedCosts,1902569756.7585032,1008369308.4817725,annual
2050,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
