load_zone,timestamp,ZoneTotalCentralDispatch,ZoneTotalDistributedDispatch,GeneratePumpedHydro,zone_demand_mw,StorageNetCharge,ChargeEVs,ShiftDemand,StorePumpedHydro
Oahu,2020-01-12 00:00,735.426,0,0,647.341,0,0.593181,87.4917,0
Oahu,2020-01-12 02:00,747.639,0,0,593.167,38.097,0.429723,115.945,0
Oahu,2020-01-12 04:00,731.207,0,0,654.218,0,0.431732,76.5568,0
Oahu,2020-01-12 06:00,822.728,0,0,913.562,0,0.522084,-91.3562,0
Oahu,2020-01-12 08:00,969.391,0,0,1005.07,0,0.797813,-36.4732,0
Oahu,2020-01-12 10:00,1101.67,0,0,1061.4,0,1.37076,38.8964,0
Oahu,2020-01-12 12:00,1178.66,0,0,1064.22,0,18.4525,95.9873,0
Oahu,2020-01-12 14:00,1137.89,0,0,1050.45,0,1.91641,85.5169,0
Oahu,2020-01-12 16:00,926.142,0,0,1019.62,0,2.06371,-95.5389,0
Oahu,2020-01-12 18:00,967.079,0,0,1070.84,0,3.32555,-107.084,0
Oahu,2020-01-12 20:00,869.289,0,0,962.449,0,3.08513,-96.2449,0
Oahu,2020-01-12 22:00,737.07,0,0,802.478,7.51618,0.773159,-73.697,0
Oahu,2020-01-19 00:00,772.491,0,0,609.669,2.0065,0.593181,160.222,0
Oahu,2020-01-19 02:00,681.461,0,0,556.714,38.097,0.429723,86.2206,0
Oahu,2020-01-19 04:00,661.164,0,0,626.44,0,0.431732,34.2925,0
Oahu,2020-01-19 06:00,797.495,0,0,885.525,0,0.522084,-88.5525,0
Oahu,2020-01-19 08:00,897.749,0,0,964.318,0,0.797813,-67.3669,0
Oahu,2020-01-19 10:00,1079.85,0,0,1010.98,38.097,1.37076,29.3944,0
Oahu,2020-01-19 12:00,1199.45,0,0,1027.55,38.097,1.57161,132.238,0
Oahu,2020-01-19 14:00,1109.19,0,0,1023.72,0,1.91641,83.5534,0
Oahu,2020-01-19 16:00,899.718,0,0,997.394,0,2.06371,-99.7394,0
Oahu,2020-01-19 18:00,949.978,0,0,1051.84,0,3.32555,-105.184,0
Oahu,2020-01-19 20:00,857.049,0,0,948.848,0,3.08513,-94.8848,0
Oahu,2020-01-19 22:00,738.659,0,0,788.599,2.6,17.654,-70.1943,0
Oahu,2020-02-12 00:00,561.544,0,0,546.129,27,17.474,-29.0593,0
Oahu,2020-02-12 02:00,557.506,0,0,505.752,5.75,0.429723,45.5745,0
Oahu,2020-02-12 04:00,565.448,0,0,585.174,9.58,0.431732,-29.7376,0
Oahu,2020-02-12 06:00,759.454,0,0,843.258,0,0.522084,-84.3258,0
Oahu,2020-02-12 08:00,827.846,0,0,918.942,0,0.797813,-91.8942,0
Oahu,2020-02-12 10:00,1104.82,0,0,967.158,38.097,1.37076,98.1991,0
Oahu,2020-02-12 12:00,1267.58,0,0,986.716,38.097,1.57161,241.192,0
Oahu,2020-02-12 14:00,1226.25,0,0,990.331,8.466,1.91641,225.541,0
Oahu,2020-02-12 16:00,887.45,0,0,983.763,0,2.06371,-98.3763,0
Oahu,2020-02-12 18:00,966.243,0,0,1069.91,0,3.32555,-106.991,0
Oahu,2020-02-12 20:00,863.833,0,0,956.387,0,3.08513,-95.6387,0
Oahu,2020-02-12 22:00,671.124,0,0,744.835,0,0.773159,-74.4835,0
Oahu,2020-02-20 00:00,723.748,0,0,603.322,0,0.593181,119.833,0
