owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,amortized_cost,52710612.776761405,52710612.776761405,52710612.776761405,49456443.56920158,49456443.56920158,49456443.56920158,49456443.56920158,49456443.56920158,49456443.56920158,49456443.56920158,45653447.77795375,45653447.77795375,45653447.77795375,45653447.77795375,45653447.77795375,33938662.5338743,33938662.5338743,33938662.5338743,33938662.5338743,33938662.5338743,27917618.712393064,27917618.712393064,27917618.712393064,27917618.712393064,27917618.712393064,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473,18469309.430294473
HECO,capacity_in_place,1247.14,1247.14,1247.14,1153.94,1153.94,1153.94,1153.94,1153.94,1153.94,1153.94,1045.94,1045.94,1045.94,1045.94,1045.94,712.74,712.74,712.74,712.74,712.74,541.3399999999999,541.3399999999999,541.3399999999999,541.3399999999999,541.3399999999999,272.64,272.64,272.64,272.64,272.64
HECO,capacity_retired,0.0,0.0,0.0,93.2,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0.0,0.0,333.2,0.0,0.0,0.0,0.0,171.39999999999998,0.0,0.0,0.0,0.0,268.70000000000005,0.0,0.0,0.0,0.0
HECO,fixed_om,15928523.03764372,15928523.03764372,15928523.03764372,14933988.245362315,14933988.245362315,14933988.245362315,14933988.245362315,14933988.245362315,14933988.245362315,14933988.245362315,13781523.035422489,13781523.035422489,13781523.035422489,13781523.035422489,13781523.035422489,10225954.443274805,10225954.443274805,10225954.443274805,10225954.443274805,10225954.443274805,8396949.471203638,8396949.471203638,8396949.471203638,8396949.471203638,8396949.471203638,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016
HECO,fuel_cost,377852644.62991077,377852644.62991077,377852644.62991077,376408273.930066,376408273.930066,318909629.34265184,318909629.34265184,318909629.34265184,318909629.34265184,318909629.34265184,70674942.12443127,70674942.12443127,70674942.12443127,70674942.12443127,70674942.12443127,37754327.88085262,37754327.88085262,37754327.88085262,37754327.88085262,37754327.88085262,39739999.187187806,39739999.187187806,39739999.187187806,39739999.187187806,39739999.187187806,26545434.003613688,26545434.003613688,26545434.003613688,26545434.003613688,26545434.003613688
HECO,non_renewable_output,2970776.4353102283,2970776.4353102283,2970776.4353102283,3065396.849617322,3065396.849617322,2414477.3965692376,2414477.3965692376,2414477.3965692376,2414477.3965692376,2414477.3965692376,435799.41098124144,435799.41098124144,435799.41098124144,435799.41098124144,435799.41098124144,207109.15432695774,207109.15432695774,207109.15432695774,207109.15432695774,207109.15432695774,202731.55444650492,202731.55444650492,202731.55444650492,202731.55444650492,202731.55444650492,5.1762598486875555e-12,5.1762598486875555e-12,5.1762598486875555e-12,5.1762598486875555e-12,5.1762598486875555e-12
HECO,renewable_output,1538.2013755158182,1538.2013755158182,1538.2013755158182,373.7432674851563,373.7432674851563,0.0,0.0,0.0,0.0,0.0,2057.895147319183,2057.895147319183,2057.895147319183,2057.895147319183,2057.895147319183,2115.719713779029,2115.719713779029,2115.719713779029,2115.719713779029,2115.719713779029,2695.7558995799245,2695.7558995799245,2695.7558995799245,2695.7558995799245,2695.7558995799245,76095.86272352135,76095.86272352135,76095.86272352135,76095.86272352135,76095.86272352135
HECO,total_output,2972314.636685744,2972314.636685744,2972314.636685744,3065770.592884807,3065770.592884807,2414477.3965692376,2414477.3965692376,2414477.3965692376,2414477.3965692376,2414477.3965692376,437857.3061285606,437857.3061285606,437857.3061285606,437857.3061285606,437857.3061285606,209224.8740407368,209224.8740407368,209224.8740407368,209224.8740407368,209224.8740407368,205427.31034608485,205427.31034608485,205427.31034608485,205427.31034608485,205427.31034608485,76095.86272352135,76095.86272352135,76095.86272352135,76095.86272352135,76095.86272352135
HECO,variable_om,31135969.61743103,31135969.61743103,31135969.61743103,32108479.805226717,32108479.805226717,25278697.13243728,25278697.13243728,25278697.13243728,25278697.13243728,25278697.13243728,4564357.797796495,4564357.797796495,4564357.797796495,4564357.797796495,4564357.797796495,2243117.5859277705,2243117.5859277705,2243117.5859277705,2243117.5859277705,2243117.5859277705,2175833.544530439,2175833.544530439,2175833.544530439,2175833.544530439,2175833.544530439,981605.1598760283,981605.1598760283,981605.1598760283,981605.1598760283,981605.1598760283
PPA,amortized_cost,127764908.59437114,127764908.59437114,127764908.59437114,199458392.99933326,199458392.99933326,267419617.21907723,267419617.21907723,267419617.21907723,267419617.21907723,267419617.21907723,445819259.29242927,445819259.29242927,445819259.29242927,445819259.29242927,445819259.29242927,499927091.4561513,499927091.4561513,499927091.4561513,499927091.4561513,499927091.4561513,487090436.36718905,487090436.36718905,487090436.36718905,487090436.36718905,487090436.36718905,675448339.0686697,675448339.0686697,675448339.0686697,675448339.0686697,675448339.0686697
PPA,capacity_added,134.6,0.0,0.0,715.5,0.0,499.0,0.0,0.0,0.0,0.0,1240.9852316395402,0.0,0.0,0.0,0.0,418.72512186135157,0.0,0.0,0.0,0.0,782.5180629568216,0.0,0.0,0.0,0.0,1932.4915387458439,0.0,0.0,0.0,0.0
PPA,capacity_in_place,777.9,777.9,777.9,1313.4,1313.4,1812.4,1812.4,1812.4,1812.4,1812.4,3053.38523163954,3053.38523163954,3053.38523163954,3053.38523163954,3053.38523163954,3472.110353500892,3472.110353500892,3472.110353500892,3472.110353500892,3472.110353500892,3656.1284164577132,3656.1284164577132,3656.1284164577132,3656.1284164577132,3656.1284164577132,5442.370562142857,5442.370562142857,5442.370562142857,5442.370562142857,5442.370562142857
PPA,capacity_retired,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,598.5,0.0,0.0,0.0,0.0,146.24939306069922,0.0,0.0,0.0,0.0
PPA,capital_outlay,231939528.5581514,0.0,0.0,1161091292.6840463,0.0,824960999.8245618,0.0,0.0,0.0,0.0,2243499810.6632323,0.0,0.0,0.0,0.0,620509273.0420055,0.0,0.0,0.0,0.0,806896027.9105296,0.0,0.0,0.0,0.0,3584842133.2527094,0.0,0.0,0.0,0.0
PPA,fixed_om,39438832.373224996,39438832.373224996,39438832.373224996,42802868.07031661,42802868.07031661,51657515.058113836,51657515.058113836,51657515.058113836,51657515.058113836,51657515.058113836,70404587.08115894,70404587.08115894,70404587.08115894,70404587.08115894,70404587.08115894,76108477.56612743,76108477.56612743,76108477.56612743,76108477.56612743,76108477.56612743,71686429.68138304,71686429.68138304,71686429.68138304,71686429.68138304,71686429.68138304,105312297.52769874,105312297.52769874,105312297.52769874,105312297.52769874,105312297.52769874
PPA,fuel_cost,228743211.81298018,228743211.81298018,228743211.81298018,209459210.2806882,209459210.2806882,225850164.98081604,225850164.98081604,225850164.98081604,225850164.98081604,225850164.98081604,194383295.0208632,194383295.0208632,194383295.0208632,194383295.0208632,194383295.0208632,186313239.78800842,186313239.78800842,186313239.78800842,186313239.78800842,186313239.78800842,196062251.20714357,196062251.20714357,196062251.20714357,196062251.20714357,196062251.20714357,36571649.91672781,36571649.91672781,36571649.91672781,36571649.91672781,36571649.91672781
PPA,non_renewable_output,2593266.192596218,2593266.192596218,2593266.192596218,2068304.0000000014,2068304.0000000014,2068304.0,2068304.0,2068304.0,2068304.0,2068304.0,1615478.8327506718,1615478.8327506718,1615478.8327506718,1615478.8327506718,1615478.8327506718,1439994.6494825736,1439994.6494825736,1439994.6494825736,1439994.6494825736,1439994.6494825736,1399132.4579160465,1399132.4579160465,1399132.4579160465,1399132.4579160465,1399132.4579160465,-2.4721902654310607e-12,-2.4721902654310607e-12,-2.4721902654310607e-12,-2.4721902654310607e-12,-2.4721902654310607e-12
PPA,renewable_output,1216897.8409823242,1216897.8409823242,1216897.8409823242,1723086.704439551,1723086.704439551,2509836.572266519,2509836.572266519,2509836.572266519,2509836.572266519,2509836.572266519,5299267.036418998,5299267.036418998,5299267.036418998,5299267.036418998,5299267.036418998,5838851.26255882,5838851.26255882,5838851.26255882,5838851.26255882,5838851.26255882,6145437.885470195,6145437.885470195,6145437.885470195,6145437.885470195,6145437.885470195,8399118.904127313,8399118.904127313,8399118.904127313,8399118.904127313,8399118.904127313
PPA,storage_load,0.0,0.0,0.0,41755.77561249934,41755.77561249934,72148.43761605685,72148.43761605685,72148.43761605685,72148.43761605685,72148.43761605685,172011.0849679357,172011.0849679357,172011.0849679357,172011.0849679357,172011.0849679357,213687.60088083262,213687.60088083262,213687.60088083262,213687.60088083262,213687.60088083262,229918.90759242204,229918.90759242204,229918.90759242204,229918.90759242204,229918.90759242204,255316.4846735002,255316.4846735002,255316.4846735002,255316.4846735002,255316.4846735002
