PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,FuelCostsPerPeriod,1715823927.3664207,606595856.4428889,annual
2020,GenVariableOMCostsInTP,313529411.5328152,110842166.77214347,timepoint
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2020,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2020,StorageEnergyFixedCost,17651137.229276367,6240212.957758407,annual
2020,TotalGenCapitalCostsSubsidy,-69197392.00083537,-24463379.13516994,annual
2020,TotalGenFixedCosts,1382455728.9094138,488740076.12151664,annual
2020,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2023,FuelCostsPerPeriod,1025910109.8814524,585867484.2107546,annual
2023,GenVariableOMCostsInTP,187406920.16876084,107022652.16554393,timepoint
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2023,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2023,StorageEnergyFixedCost,106331495.30851018,60722830.43975759,annual
2023,TotalGenCapitalCostsSubsidy,-49783687.2536802,-28430018.6976605,annual
2023,TotalGenFixedCosts,924991964.2577933,528236060.64034086,annual
2023,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2025,FuelCostsPerPeriod,2152071197.541665,544759794.3234684,annual
2025,GenVariableOMCostsInTP,395811495.05019313,100192869.49275443,timepoint
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2025,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2025,StorageEnergyFixedCost,334588472.55340815,84695314.77369687,annual
2025,TotalGenCapitalCostsSubsidy,-130173847.39890003,-32951269.649593662,annual
2025,TotalGenFixedCosts,2352578319.2096353,595514722.173907,annual
2025,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2030,FuelCostsPerPeriod,903247502.8482332,265058237.1452941,annual
2030,GenVariableOMCostsInTP,269598799.1463163,79113844.44781317,timepoint
2030,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2030,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2030,StorageEnergyFixedCost,477265996.49268335,140053842.69631165,annual
2030,TotalGenCapitalCostsSubsidy,-149790279.49741897,-43956000.210230105,annual
2030,TotalGenFixedCosts,2613398827.589948,766902630.8008076,annual
2030,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2035,FuelCostsPerPeriod,658655527.1542248,224067567.66886133,annual
2035,GenVariableOMCostsInTP,225319477.1542038,76651276.90113574,timepoint
2035,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2035,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2035,StorageEnergyFixedCost,495729655.03491986,168641928.05747068,annual
2035,TotalGenCapitalCostsSubsidy,-136866924.42036742,-46560664.239303954,annual
2035,TotalGenFixedCosts,2373310101.3476343,807374719.879009,annual
2035,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2040,FuelCostsPerPeriod,597917359.7717134,235802250.3943315,annual
2040,GenVariableOMCostsInTP,194108504.44310966,76551084.22648732,timepoint
2040,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2040,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2040,StorageEnergyFixedCost,382908272.5558841,151008548.0671723,annual
2040,TotalGenCapitalCostsSubsidy,-121590042.0876638,-47951786.4488152,annual
2040,TotalGenFixedCosts,2092618255.8786955,825271395.6003149,annual
2040,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2045,FuelCostsPerPeriod,138055597.3825199,63117083.92034146,annual
2045,GenVariableOMCostsInTP,130927181.0415066,59858071.89225083,timepoint
2045,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2045,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2045,StorageEnergyFixedCost,407944622.865161,186506563.18475768,annual
2045,TotalGenCapitalCostsSubsidy,-130490505.1412998,-59658429.79180794,annual
2045,TotalGenFixedCosts,2072437371.8023145,947489315.867904,annual
2045,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2050,FuelCostsPerPeriod,107872024.60702068,57172589.058093175,annual
2050,GenVariableOMCostsInTP,111421775.82549778,59053970.89376189,timepoint
2050,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2050,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2050,StorageEnergyFixedCost,296990080.0436203,157405887.78713816,annual
2050,TotalGenCapitalCostsSubsidy,-69251515.31899227,-36703570.19261234,annual
2050,TotalGenFixedCosts,1936005547.838961,1026090406.701995,annual
2050,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
