period,variable,value
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0
2020,Pumped_Hydro_Net_Load,0.0
2020,co2_emissions,4708737.99122302
2020,ev_load,24646.045539869985
2020,gross_load,7917644.353182679
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0
2023,Pumped_Hydro_Net_Load,0.0
2023,co2_emissions,3704042.279780026
2023,ev_load,44094.82351228484
2023,gross_load,8056386.051654423
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0
2025,Pumped_Hydro_Net_Load,0.0
2025,co2_emissions,3194995.1447393466
2025,ev_load,63752.44387423624
2025,gross_load,8223605.444129768
2030,Pumped_Hydro_Fixed_Cost_Annual,0.0
2030,Pumped_Hydro_Net_Load,0.0
2030,co2_emissions,1414472.6828306962
2030,ev_load,145082.01493871104
2030,gross_load,8425359.900663232
2035,Pumped_Hydro_Fixed_Cost_Annual,0.0
2035,Pumped_Hydro_Net_Load,0.0
2035,co2_emissions,1099952.0063872118
2035,ev_load,287956.645127257
2035,gross_load,8573907.748737168
2040,Pumped_Hydro_Fixed_Cost_Annual,0.0
2040,Pumped_Hydro_Net_Load,0.0
2040,co2_emissions,1070540.747993848
2040,ev_load,523472.7018844191
2040,gross_load,8798578.1550559
2045,Pumped_Hydro_Fixed_Cost_Annual,0.0
2045,Pumped_Hydro_Net_Load,0.0
2045,co2_emissions,0.0
2045,ev_load,925893.4814995899
2045,gross_load,9000426.747959584
2050,Pumped_Hydro_Fixed_Cost_Annual,0.0
2050,Pumped_Hydro_Net_Load,0.0
2050,co2_emissions,0.0
2050,ev_load,1332541.3368219656
2050,gross_load,9234899.49144973
