generation_project,period,load_zone,IncrementalPowerCapacityMW,IncrementalEnergyCapacityMWh,OnlinePowerCapacityMW,OnlineEnergyCapacityMWh
Oahu_Battery_Bulk,2020,Oahu,0,0,0,0
Oahu_Battery_Bulk,2023,Oahu,426.5,1530.99,426.5,1530.99
Oahu_Battery_Bulk,2025,Oahu,172,815,598.5,2345.99
Oahu_Battery_Bulk,2030,Oahu,3.04939,2272.68,601.549,4618.67
Oahu_Battery_Bulk,2035,Oahu,159.599,1282.83,761.148,5901.5
Oahu_Battery_Bulk,2040,Oahu,637.922,2690.19,800.571,6245.7
Oahu_Battery_Bulk,2045,Oahu,215.695,4522.5,1013.22,8495.52
Oahu_Battery_Bulk,2050,Oahu,153.416,0,1007.03,7212.69
Oahu_Battery_Conting,2020,Oahu,0,0,0,0
Oahu_Battery_Conting,2023,Oahu,0,0,0,0
Oahu_Battery_Conting,2025,Oahu,0,0,0,0
Oahu_Battery_Conting,2030,Oahu,0,0,0,0
Oahu_Battery_Conting,2035,Oahu,0,0,0,0
Oahu_Battery_Conting,2040,Oahu,0,0,0,0
Oahu_Battery_Conting,2045,Oahu,0,0,0,0
Oahu_Battery_Conting,2050,Oahu,0,0,0,0
Oahu_Battery_Reg,2020,Oahu,0,0,0,0
Oahu_Battery_Reg,2023,Oahu,0,0,0,0
Oahu_Battery_Reg,2025,Oahu,0,0,0,0
Oahu_Battery_Reg,2030,Oahu,0,0,0,0
Oahu_Battery_Reg,2035,Oahu,0,0,0,0
Oahu_Battery_Reg,2040,Oahu,0,0,0,0
Oahu_Battery_Reg,2045,Oahu,0,0,0,0
Oahu_Battery_Reg,2050,Oahu,0,0,0,0
Oahu_DistBattery,2020,Oahu,38.097,152.388,38.097,152.388
Oahu_DistBattery,2023,Oahu,25.796,103.184,63.893,255.572
Oahu_DistBattery,2025,Oahu,8.274,33.096,72.167,288.668
Oahu_DistBattery,2030,Oahu,33.387,133.548,105.554,422.216
Oahu_DistBattery,2035,Oahu,82.986,331.944,150.443,601.772
Oahu_DistBattery,2040,Oahu,82.792,331.168,199.165,796.66
Oahu_DistBattery,2045,Oahu,84.51,338.04,250.288,1001.15
Oahu_DistBattery,2050,Oahu,82.986,331.944,250.288,1001.15
