PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2020,FuelCostsPerPeriod,1715812856.0023224,606591942.3795167,annual
2020,GenVariableOMCostsInTP,313617203.9240979,110873204.04813078,timepoint
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2020,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2020,StorageEnergyFixedCost,17651137.229276367,6240212.957758407,annual
2020,TotalGenCapitalCostsSubsidy,-69197392.00083537,-24463379.135169942,annual
2020,TotalGenFixedCosts,1382455728.9094138,488740076.12151664,annual
2020,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2023,FuelCostsPerPeriod,1026425336.1317751,586161714.9666157,annual
2023,GenVariableOMCostsInTP,187411242.87189516,107025120.73582695,timepoint
2023,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2023,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2023,StorageEnergyFixedCost,106331495.30851018,60722830.43975759,annual
2023,TotalGenCapitalCostsSubsidy,-49783687.2536802,-28430018.697660502,annual
2023,TotalGenFixedCosts,924991964.2577933,528236060.64034086,annual
2023,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2025,FuelCostsPerPeriod,2152114965.1009393,544770873.328018,annual
2025,GenVariableOMCostsInTP,395813912.8092016,100193481.50684656,timepoint
2025,Pumped_Hydro_Fixed_Cost_Annual,0.0,0.0,annual
2025,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2025,StorageEnergyFixedCost,334588472.55340815,84695314.77369687,annual
2025,TotalGenCapitalCostsSubsidy,-130173847.39890003,-32951269.649593662,annual
2025,TotalGenFixedCosts,2352578319.2096353,595514722.173907,annual
2025,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2030,FuelCostsPerPeriod,964646068.0317706,283075663.597602,annual
2030,GenVariableOMCostsInTP,270714358.10463446,79441205.54207699,timepoint
2030,Pumped_Hydro_Fixed_Cost_Annual,121629291.649538,35692150.30010912,annual
2030,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2030,StorageEnergyFixedCost,442138492.256808,129745666.56660756,annual
2030,TotalGenCapitalCostsSubsidy,-156666135.7757025,-45973722.19477952,annual
2030,TotalGenFixedCosts,2568728378.978301,753794074.9241997,annual
2030,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2035,FuelCostsPerPeriod,637820149.1684257,216979594.8602065,annual
2035,GenVariableOMCostsInTP,225230754.50711018,76621094.4052607,timepoint
2035,Pumped_Hydro_Fixed_Cost_Annual,104918495.41531491,35692150.30010912,annual
2035,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2035,StorageEnergyFixedCost,408132951.76266736,138842466.23130614,annual
2035,TotalGenCapitalCostsSubsidy,-135141584.93564314,-45973722.19477952,annual
2035,TotalGenFixedCosts,2431243621.669197,827083084.0386976,annual
2035,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2040,FuelCostsPerPeriod,593623169.2664988,234108739.1285971,annual
2040,GenVariableOMCostsInTP,194271312.81442073,76615291.39443582,timepoint
2040,Pumped_Hydro_Fixed_Cost_Annual,90503615.78962027,35692150.30010912,annual
2040,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2040,StorageEnergyFixedCost,301536743.30688864,118917842.88633059,annual
2040,TotalGenCapitalCostsSubsidy,-118936389.46910858,-46905258.44792384,annual
2040,TotalGenFixedCosts,2128828804.131895,839551845.2754623,annual
2040,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2045,FuelCostsPerPeriod,162409370.9424847,74251287.81141758,annual
2045,GenVariableOMCostsInTP,131089631.36554746,59932341.903244756,timepoint
2045,Pumped_Hydro_Fixed_Cost_Annual,78069213.99865575,35692150.30010912,annual
2045,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2045,StorageEnergyFixedCost,352743838.8867885,161269538.53027797,annual
2045,TotalGenCapitalCostsSubsidy,-130481778.7682377,-59654440.216366425,annual
2045,TotalGenFixedCosts,2039980730.0965788,932650594.243041,annual
2045,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2050,FuelCostsPerPeriod,75726939.2381012,40135569.84268721,annual
2050,GenVariableOMCostsInTP,111347385.20904733,59014543.580150284,timepoint
2050,Pumped_Hydro_Fixed_Cost_Annual,67343189.78520758,35692150.30010912,annual
2050,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2050,StorageEnergyFixedCost,286149142.0263619,151660148.82911885,annual
2050,TotalGenCapitalCostsSubsidy,-69243546.77104124,-36699346.83146701,annual
2050,TotalGenFixedCosts,1912880081.3974416,1013833820.3029329,annual
2050,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
